Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages group=NoteFragmentedMessages,Database search with regular expressions support,Indexed search,Search folders group=NoteSearchfolders,IMAP,,,
,,,,,ticker,tray icon,tooltip,sound,,,,,,,Search,IDLE,,
Alpine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",,,,,,,,,,,,,,,,,
Becky! Internet Mail,mbox,,,,,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,,,,,,
Claws Mail,"MH, mbox (plugin)",,,,,,,,,,,,,,,,,
Cone,"mbox, maildir",,,,,,,,,,,,,,,,,
Courier,Proprietary,,,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,,,,
eM Client,Proprietary (sqlite),,,,,,,,,,,,,,,,,
EmailTray,Proprietary,,,,,,,,,,,,,,,,,
Eudora,modified mbox,,,,,,,,,,,date=January 2007,,,,,,
Evolution,"maildir, mbox, MH",,,,,,,,,group=NoteKeybindings,,,,,,,,
Gnus,"babyl, maildir, mbox, MMDF, news, rnews, SOUP, outlook, oe-dbx",,,,,,,,,,,,group=Notename=GnusNNIRVia nnir backends such as Notmuch[77],,,,,
GroupWise,Proprietary,,,,,,,,,,,,,,,,,
Hiri,Proprietary,,,,,,,,,,,,,,,,,
IBM Notes,Proprietary,,,,,,,,,,group=NoteLotus_frag,,,,,,,
KMail,"mbox, maildir",,,,,,,,,,,,,,,,,
Mailbird,Proprietary,,,,,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,,,,,,
Microsoft Entourage,Proprietary (Personal Storage Table),,,group=Noteeragebackups,,,,,,,,group=Noteeragedbgrepsearch,,,,,,
Microsoft Office Outlook,Proprietary (Personal Storage Table),,,,,,,,,,,,group=NoteMSO,,,,,
Mozilla Mail & Newsgroups,mbox,,,,,,,,,,,,,,,,,
Mozilla Thunderbird,"mbox, maildir",,,,,,,,group=NoteTBThemes,,,,,,,,,
Mulberry,mbox group=NoteMulberryMBox,group=NoteMulberryDB,group=NoteMulberryDB,group=NoteMulberryDB,,,,,,,,date=January 2007,group=NoteMulberryDB,,,,,
Mutt,"mbox, MMDF, MH, maildir",,,,,,,,,,,,group=Notename=muttindexersVia Notmuch or other indexers.[80][81],group=Notemuttindexers,,,,
Netscape Messenger,mbox,,,,,,,,,,,,,,,,,
Netscape Messenger 9,mbox,,,,,,,,,,,,,,,,,
nmh / MH,MH,,,,,,,,,,,,,,,,,
Opera Mail,"mbox, MH, Proprietary",,,,,,,,,,,,,,,,,
Outlook Express,Proprietary,,,,,,,,,,,,,,,,,
Pegasus Mail,Proprietary (mbox-like),,,,,,,,,,,,,,,,,
Pine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",,,,,,,,,,,,,,,,,
Pocomail,mbox,,,,,,,,,,,,,,,,,
RoundCube,[IMAP Server],,,,,,,,,,,,,,,,,
i.Scribe / InScribe,Proprietary (sqlite),,,,,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,mbox,,,,,,,,,,,,,,,,,
SquirrelMail,[IMAP Server],,,,,,,,,,,,,,,,,
Sylpheed,MH,,,,,,,,,,,group=NoteGrepMH,group=NoteGrepMH,,,,,
The Bat!,Proprietary,Yes (AES 128 bit) (with Pro and Voyager version) group=NoteTBEncryptedDB,,,,,,,,,,,,,,,,
Trojitá,IMAP,,,,,,,,,,,,,,,,,
Turnpike,Proprietary,,,,,,,,,,,,,,,,,
Windows Live Mail,File System (.eml),,,,,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,,,,,,
YAM,"mbox, maildir, oe-dbx",,,,,,,,,,,,,,,,,
Zimbra,File system,,,,,,,,,,,,,,,,,
Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages group=NoteFragmentedMessages,Database search with regular expressions support,Indexed search,Search folders group=NoteSearchfolders,IMAP,,,
,,,,,ticker,tray icon,tooltip,sound,,,,,,,Search,IDLE,,
