,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface EventTarget,,,,,,,
DOM2,addEventListener(),rowspan="3" 5.0[16],rowspan="3" ,rowspan="3" 1.0,rowspan="2" ,rowspan="2" ,rowspan="3" 1.0
,removeEventListener(),,,,,,
,dispatchEvent(),?,?,,,,
Interface EventListener,,,,,,,
DOM2,handleEvent(),?,?,?,?,?,1.0
Interface Event,,,,,,,
DOM2,type,4.0,rowspan="2" ,1.0,?,?,rowspan="10" 1.0
,target,rowspan="9" ,1.3,Incorrect,?,,
,currentTarget,rowspan="8" ,rowspan="4" 1.0,?,?,,
,eventPhase,?,?,,,,
,bubbles,?,?,,,,
,cancelable,?,?,,,,
,timeStamp,Yes,?,?,,,
,stopPropagation(),rowspan="3" 1.0,?,?,,,
,preventDefault(),?,?,,,,
,initEvent(),?,?,,,,
Exception EventException,,,,,,,
DOM2,code,,,1.0,?,?,1.0
Interface DocumentEvent,,,,,,,
DOM2,createEvent(),,,1.0,?,?,1.0
Interface UIEvent,,,,,,,
DOM2,view,rowspan="3" ,rowspan="3" ,rowspan="3" ,?,?,rowspan="3" 1.0
,detail,?,?,,,,
,initUIEvent(),?,?,,,,
Events for interface UIEvent,,,,,,,
DOM2,DOMFocusIn,rowspan="3" ,rowspan="3" ,rowspan="3" ,?,?,rowspan="3" 1.0
,DOMFocusOut,?,?,,,,
,DOMActivate,?,?,,,,
Interface MouseEvent,,,,,,,
DOM2,screenX,rowspan="7" 4.0,rowspan="7" ,rowspan="11" 1.0,rowspan="2" ,?,rowspan="8" 1.0
,screenY,?,,,,,
,clientX,Incorrect,?,,,,
,clientY,Incorrect,?,,,,
,ctrlKey,rowspan="4" ,?,,,,
,shiftKey,?,,,,,
,altKey,?,,,,,
,metaKey,,,?,,,
,button,Incorrect,Incorrect,Incorrect,?,1.0,
,relatedTarget,,,,?,rowspan="2" 1.0,
,initMouseEvent(),?,?,?,?,,
Events for interface MouseEvent,,,,,,,
DOM2,click,rowspan="6" 4.0,rowspan="6" ,rowspan="6" 1.0,?,?,rowspan="6" 1.0
,mousedown,?,?,,,,
,mouseup,?,?,,,,
,mouseover,?,?,,,,
,mousemove,?,?,,,,
,mouseout,?,?,,,,
Interface MutationEvent,,,,,,,
DOM2,relatedNode,rowspan="6" ,rowspan="6" ,rowspan="6" 1.0,?,?,rowspan="6" 1.0
,prevValue,?,?,,,,
,newValue,?,?,,,,
,attrName,?,?,,,,
,attrChange,?,?,,,,
,initMutationEvent,?,?,,,,
Events for interface MutationEvent,,,,,,,
DOM2,DOMSubtreeModified,rowspan="7" 5.0[18],rowspan="7" ,1.9,rowspan="5" ,Partial,
,DOMNodeInserted,rowspan="2" 1.0,rowspan="3" ,rowspan="6" 1.0,,,
,DOMNodeRemoved,,,,,,
,DOMNodeRemovedFromDocument,rowspan="2" ,,,,,
,DOMNodeInsertedIntoDocument,,,,,,
,DOMAttrModified,rowspan="2" 1.0,,rowspan="2" ,,,
,DOMCharacterDataModified,,,,,,
Events for HTML,,,,,,,
DOM2,load,rowspan="12" 4.0,rowspan="12" ,rowspan="12" 1.0,?,?,rowspan="2" 2.0
,unload,?,?,,,,
,abort,?,?,,,,
,error,?,?,rowspan="9" 2.0,,,
,select,?,?,,,,
,change,?,?,,,,
,submit,?,?,,,,
,reset,?,?,,,,
,focus,?,?,,,,
,blur,?,?,,,,
,resize,?,?,,,,
,scroll,?,?,,,,
