BitTorrent library,First public release date,Latest stable,Software license
libtorrent (Rasterbar),df=yes20050908[91],,BSD licenses
MonoTorrent,df=yes200609,,MIT/X11
rTorrent (libTorrent Rakshasa),df=yes20040715[92],,GNU GPLv2
BitTorrent library,First public release date,Latest stable,Software license
