Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,2006iso,3.12.0[2],,2020-05-29iso,X,LEAF Project,"security, lightweight, general",None,
ALT Linux,ALT Linux Team,"ALT Linux Team, ALT Linux LLC",2001iso,9.1[3],,2020-07-29iso,X,Mandrake Linux,"general, school",None,
antiX,Anticapitalista,Anticapitalista,2007iso,19[4],,2019-10-17iso,X,"Debian, MEPIS",old computers,Some editions are free of charge,
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,,X,Arch Linux (UKM Edition),general,None,
Arch Linux,Judd Vinet,dev team,2002iso,Rolling,Rolling,Rolling,X,"Independent, inspired from CRUX",general,None,
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,2002iso,140k,,2011-05-04iso,100% Free: GNU FSDG[5],Fedora,desktop,None,
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,2011iso,5.1.0[6],,2020-03-25iso,X,"Debian, Ubuntu","desktop, lightweight",None,
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,2007iso,6.0[7],,2018-03-19iso,X,"Debian, Ubuntu",Government of Venezuela,None,
CentOS,CentOS Project,CentOS Project,2003iso,8.2-2004,10 years[8],2020-6-15iso,X,Red Hat Enterprise Linux (RHEL),"server, workstation",None,
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,2010iso,Rolling,Rolling,,X,Arch Linux[9],desktop,None,
Chrome OS,Sundar Pichai,Google,2009,84.0.4147.110[10],6.5 years[11],2020-07-29iso,X,Chromium OS,web applications,None,
ClearOS,Peter Baldwin,ClearFoundation,2000iso,7.6.0[12],,2019-05-09iso,X,"RHEL, CentOS","server, gateway, network",Some editions are free of charge,
CrunchBang Linux,Philip Newborough,Philip Newborough,2008iso,11[13],,2013-05-06iso,X,Debian,desktop,None,
Damn Small Linux,John Andrews,dev team,2003iso,4.4.10[14],,2008-11-18iso,X,"Debian, Knoppix","lightweight, portable",None,
Debian,Ian Murdock,Debian Project,1993iso,10.6[15],~3 years[16],2020-09-26iso,"Debian Social Contract and DFSG (main is 100% free, non-free packages are optional)[17]",Softlanding Linux System (SLS)[18],"general, server, desktop",None,
Debian Edu,,Debian Project,2004iso,10.3[19],~3 years[16],2020-02-08iso,Debian Social Contract and DFSG,Debian,schools,None,
Devuan,The "Veteran Unix Admins" (VUA),The "Veteran Unix Admins" (VUA),2016iso,2.1[20],,2019-11-25iso,X [21],Debian,general,None,
Deepin,"Wuhan Deepin Technology Co., Ltd.","Wuhan Deepin Technology Co., Ltd.",2004iso,15.11[22],,2019-07-05iso,X,Debian,general,None,
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,2009iso,3.0-beta1[23],,2019-10-16iso,100% Free: GNU FSDG[5],"Independent, inspired from Slackware",general,None,
dyne:bolic,Jaromil,Jaromilx,2005iso,3.0.0,,2011-09-08iso,100% Free: GNU FSDG[5],Debian,multimedia,None,
Elementary OS,Daniel Foré,elementary LLC,2011iso,5.1.2[24],,2020-02-05iso,X,"Ubuntu, Debian",general,None,
ELinOS,SYSGO,SYSGO,1999iso,6.2[25],,2017-10-01iso,X,–,embedded systems,,
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,2009iso,3.1,End-of-life,2013-06-15iso,X,Debian,embedded systems,None,
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,2019iso,Rolling,,2020-07-15,X,Arch Linux,general,None,
Fedora,Fedora Project,Fedora Project,2003iso,33[26],1 year,2020-10-27iso,Fedora Licensing Guidelines[27],Red Hat Linux,general,None,
Freespire,"Lindows.com, Inc.",PC/OpenSystems LLC,2001iso,6.0[28],,2020-02-10iso,X,Ubuntu,desktop,None,
Gentoo Linux,Daniel Robbins,"Gentoo Foundation, Inc.",2002iso,Rolling,Rolling,Rolling,Gentoo Social Contract,Enoch Linux,general,None,
Guix System,Ludovic Courtès,"Ludovic Courtès, Ricardo Wurmus, the Guix community",2012iso,1.1.0[29],Rolling,2020-04-15iso,100% Free: GNU FSDG[5],–,general,None,
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,2006iso,4.0 (Ucclia)[30],,2016-05-02iso,100% Free: GNU FSDG[5],Debian,"general, server",None,
Grml,Michael Prokop,The Grml Team,2005iso,2018.12[31],,2018-12-31iso,X,Debian,"live, maintenance, security, network, forensic, accessibility",None,
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,2017iso,0.3[32],"3 years (stable), 5 years (old stable)[33]",2019-09-23iso,100% Free: GNU FSDG[5] followed in Hyperbola Social Contract,Arch Linux,general,None,
Kali Linux,"Max Moser, Mati Aharoni, Martin J. Muench",Offensive Security,2013iso,2020.2[34],,2020-05-12iso,X,Debian,"auditing, forensic, security, network",None,
Knoppix,Klaus Knopper,dev team,2000iso,8.6[35],,2019-08-08iso,X,Debian,live,None,
Kodibuntu,The XBMC Project,Team Kodi,2008iso,,,,X,"Debian, Ubuntu",multimedia,None,
Korora,Chris Smart,Dev Team,2005iso,26[36],,2017-09-16iso,X,Fedora,desktop,None,
LibreCMC,LibreCMC team,LibreCMC team,2010iso,1.4.8[37],,2019-06-30iso,100% Free: GNU FSDG[5],Merged from LibreWRT,embedded systems,None,
Linspire,"Linspire, Inc.","Linspire, Inc.",2001iso,8.7[38],,2020-03-03iso,X,Ubuntu,,Commercial[39],
Linux Mint,Clement Lefebvre,dev team,2006iso,20[40],~3 years (LMDE); 5 years (main editions),2020-06-27iso,X,"Debian(LMDE), Ubuntu (main editions)",desktop,None,
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,5.0[41],,2020-05-31,X,Ubuntu,desktop,None,
Mageia,Mageia Community,mageia.org,2010iso,7.1[42],1 year,2019-07-01iso,X,Mandriva Linux,general,None,
Mandriva Linux,Mandrakesoft S.A.,Mandriva S.A.,1998iso,2011,, 2011-08-28iso,X,Red Hat Linux,general,Some editions are free of charge,
Manjaro Linux,Roland Singer,dev team,2012iso[43],Rolling,Rolling,Rolling,X,Arch Linux,general,None,
MEPIS,Warren Woodford,MEPIS LLC,2003iso,11.9.90,,,X,Debian,"desktop, server",None,
Musix GNU+Linux,Musix team,Musix team,2008iso,3.0.1,,2014-03-13iso,100% Free: GNU FSDG[5],Debian,multimedia,None,
Netrunner,Blue Systems,dev team,2009iso,20.01[44],as per Debian,2020-02-23iso,X,Debian,desktop,None,
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,2003iso,19.09[45],0.5 years,2019-05-02iso,X,–,"general, server, desktop",None,
