Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
Akregator,,,,,,,,,,,
Amarok,,,,,,,,,,,
AOL Explorer,,,,,,,,,,,
Avant,,,,,,,,,,,
Awasu,,,,,,,,any XML format (via XSL),,,
BlogBridge,,,,,,,,,,,
Canto,,,,,,,,,,,
Claws Mail,,,,,,,,,,,
CommaFeed,,,,,,,,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0[16]",,,
Cooliris,,,,,,,,,,,
CyberSEO,,,,,,,,"any XML, JSON and CSV formats",,,
Feed Viewer,,,,,,,,"CDF, RDF",,,
FeedDemon,,,,,,,,,,,
Feedreader,,,,,,,,,,,
Flock,,,,,,,,,,,
Gnus,,,,,,,,Newsgroups,,,
IBM Lotus Notes,,,,,,,,,,,
Internet Explorer,,,,,,,,Web Slice,,,
iTunes,,,,,,,,,,,
Juice,,,,,,,,,,,
K-Meleon,,,,,,,,,,,
Kazehakase,,,,,,,,"LIRS, HINA-DI",,,
Liferea,,,,,,,,,,,
Mail (OS X),,,,,,,,,,,
Maxthon,,,,,,,,,,,
MediaMonkey,,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,
Miro,,,,,,,,,,,
Mozilla Firefox,,Add-on,Add-on,Add-on,,Add-on,Add-on,,,Add-on,Add-on
Mozilla Thunderbird,,,,,,,,Newsgroup,,,
NetNewsWire,,,,,,,,,,,
Netscape Browser,,,,,,,,,,,
Netscape Navigator 9,,,,,,,,,,,
NewsAccess,,,,,,,,,,,
NewsBlur,,,,,,,,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",,,
NewsFire,,,,,,,,,,,
OmniWeb,,,,,,,,,,,
Opera Mail,,,,,,,,"RDF, Newsgroup",,,
Pegasus Mail,,,,,,,,,,,
Protopage,,,,,,,,"RSS 0.90, RSS 0.92, RSS 0.93, RSS 0.94, Atom 0.3, Atom 1.0",,,
Pulse,,,,,,,,,,,
Quiterss,,,,,,,,,,,
Rhythmbox,,,,,,,,,,,
RSS Bandit,,,,,,,,,,,
RSS Guard,,,,,,,,"Gmail, Inoreader, Nextcloud News, Tiny Tiny RSS",,,
RSSOwl,,,,,,,,Newsgroup,,,
Safari,,,,,,,,,,,
Sage,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,Newsgroup,,,
Songbird,,,,,,,,,,,
Shiira,,,,,,,,,,,
Sleipnir,,,,,,,,,,,
The Bat!,,,,,,,,,,,
The Old Reader,,,,,,,,PubSubHubbub,,,
Tiny Tiny RSS,,,,,,,,,,,
Winamp,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,
Zimbra,,,,,,,,,,,
Zune,,,,,,,,,,,
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other standard,Delta updates,IPv6,Auto updates
