Model,CPU/APU PCIe Link,PCIe,,,SATA,USB 3.1 Gen2 + 2.0,RAID,Overclocking,TDP (W),Chipset lithography,Features / notes,Part number
,,Chipset PCIe 4.0 Lanes,CrossFire,SLI,,,,,,,,
TRX40[26],8,8×,,,4 (+ up to 2 × 4 extra),8 + 4," 0,1,10",,15 W[25],14 nm,,
