Name,Users,Projects
Assembla,,526581+[48]
Bitbucket,5000000[49],
Buddy,,
CloudForge,,
Gitea,,
GitHub,31000000[50],100000000[50]
GitLab,100000[51],"546000[52]GitLab is not fundamentally organized by projects, so the count is somewhat difficult."
GNU Savannah,93346[53],3848[53]
Launchpad,3965288[54],40881[55]
OSDN,54826[56],6294[56]
Ourproject.org,6353[57],1846[57]
OW2 Consortium,,
Rosetta code,,
SEUL,,
SourceForge,3700000[58],500000[58]
Name,Users,Projects
