Software,Data Synergy PowerMAN[3],EMCO Software Remote Shutdown[4],Energy Star EZ GPO[5],Faronics Power Save[6],Verdiem Surveyor[7]
License,,,,,
64-bit Support,,,,,
Active Directory Integration,,,,,
Group Policy Configuration Support,,,,,
Per-user Policy,,,,,
Per-machine Policy,,,,,
Anti-insomnia,,,,,
Sleep on idle,,,,,
Hibernate on idle,,,,,
Power-off on idle,,,,,
Logout on idle,,,,,
Standby display on idle,,,,,
Scheduled Sleep/Hibernate,,,,,
Scheduled power-off,,,,,
Scheduled Reboot,,,,,
Scheduled wake-up (without WoL),,,,,
Remote wake-up (with WoL),,,,,
