,Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License,"Implementation: language, environment","API: language, environment",Self-hosted server,Text message support,Binary message support,API message-based,API frame-based,API streaming input-output,Flow-control framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pings-pongs,Frame size limit
Google Chrome 15[1],,,15.0.874.8 12 Sep 2011,8 (10),,Complex,"C++, WebKit","JavaScript, HTML5",,,,,,",,,,,? 16 MB (memory-limited?)
Google Chrome 16[1],,,16.0.912 13 Dec 2011,13 (17/RFC 6455),,Complex,"C++, WebKit","JavaScript, HTML5",,,,,,",,,,,? 16 MB (memory-limited?)
Mozilla Firefox 7[2],,,7 beta 12 Sep 2011,8 (10),,"MPL, GPL, LGPL","C++, Necko","JavaScript, HTML5",,,,,,",,,,,< 16 MB
Mozilla Firefox 11[2],,,11.0 13 Mar 2012,13 (17/RFC 6455),,"MPL, GPL, LGPL","C++, Necko","JavaScript, HTML5",,,,,,",,,,,< 2 GB (memory-limited?)
Achex WS[3],,,2.17 17 June 2014,RFC 6455,,Commercial,C++,"C++, JavaScript",,,,,,,,,,,2^16
Kaazing WebSocket Gateway[4],,,5.0 Dec 2014,RFC 6455,,"APL2 (Community Edition), commercial (Enterprise Edition)","Java, JMS","JavaScript, Flash/Flex, Silverlight, Objective-C & iOS, Java, Java & Android, .NET, Xamarin",,,,,,,,,,,"memory-limited, configurable"
Lightstreamer[5],,,7.1.2 25 Sep 2020,RFC 6455,,"Commercial, freeware",Java,"JavaScript, Flash/Flex, Silverlight, iOS, macOS, tvOS, watchOS, Java, J2ME, Android, .NET Standard",,,,,,,,,,,"Data driven, configurable"
MigratoryData[6],,,5.0.28 23 Aug 2019,RFC 6455,,Commercial,Java,"JavaScript, iOS, Android, Java, C++, .NET, PHP, Node.js, Python, Ruby",,,,,,",,,,,"263, configurable"
noPoll[7],,,0.3.2 28 aug 2015,RFC 6455,,LGPL 2.1,ANSI C,ANSI C,,,,,,,,,,,"memory-limited, configurable"
POCO C++ Libraries[8],,,1.4.6 23 Sep 2014,RFC 6455,,Boost,"C++, POCO C++ Libraries",C++,,,,,,,,,,,"memory-limited, configurable"
PowerWebSockets[9],,,15.176.5188 26 Jun 2015,RFC 6455,Test report[10],Commercial,.NET,".NET Framework, .NET Compact Framework, Xamarin. iOS, Xamarin.Android, Windows Phone, Silverlight, Mono",,,,,,,,,,,"memory-limited, configurable"
QtWebSockets[11],,,1.0 12 Nov 2013,RFC 6455,,LGPL,"C++, Qt",Qt,,,,,,,,,,,"memory-limited, configurable"
RingSocket[12],,,1.0 13 Sep 2019,RFC 6455,,MIT,C,C,,,,,,,,,,,unlimited/configurable
Resin[13],,,4.026 29 Feb 2012,RFC 6455,,"GPL, commercial","Java, C",Java,,,,,,,,,,,"memory-limited, configurable"
WebSocketListener[14],,,2.1.3 24 Nov 2014,RFC 6455,,MIT,".NET, Mono",".NET, Mono",,,,,,,,,,,Configurable
Wt[15],,,3.2.0 30 Nov 2011,"0,7,8,13 (17)",[? Report],"GPL, commercial","C++, Boost Asio",C++,,,,,,,,,,,"memory-limited, configurable"
XSockets.NET[16],,,5.*,RFC 6455,,Commercial,.NET,"Server-languages: Windows (.NET), Unix-Linux (Mono) Client-languages: JavaScript, .NET, Mono",,,,,,,,,,,"memory-limited, configurable"
RIWA Gateway[17],,,2.01,RFC 6455,,Commercial,Java,"Java, Android, iOS, JavaScript",,,,,,,,,,,"memory-limited, configurable"
µWebSockets[18],,,v0.14.0 28 Mar 2017,RFC 6455,Testsuite report">µWebSockets Autobahn|Testsuite report,Apache License 2.0,"C++, epoll, Libuv, Boost Asio","C++, JavaScript, Node.js",,,,,,,,,,,"memory-limited, configurable"
Boost.Beast[19],,,94 30 July 2017,RFC 6455,Testsuite report">Beast.WebSocket Autobahn|Testsuite report,Boost,"C++, Boost Asio",C++,,,,,,,,,,,"unlimited (packets streamed to user code), permessage-deflate also unlimited (chunked)"
libwebsockets[20],,,2.4 16 Oct 2017,RFC 6455 + RFC 7692,Testsuite report">libwebsockets.org lws Autobahn|Testsuite report,LGPL2 + SLE,"C, libuv, libev, libevent, poll, external poll loop integration, OpenSSL, mbedTLS","C, HTML5, JavaScript",,,,,,",,,,,"unlimited (packets streamed to user code), permessage-deflate also unlimited (chunked)"
websocket++[21],,,"0.7.0 22 Feb, 2016",RFC 6455,,BSD,C++11,C++11,?,?,?,?,?,?,?,?,?,?,?
facil.io[22],,,0.7.1 18 May 2019,RFC 6455,,MIT,C,C,,,,,,",,,,,configurable client to server limits. unlimited (chunked) server to client.
oatpp-websocket[23],,,1.2.0 27 Oct 2020,RFC 6455,,Apache License 2.0,"C++11, Oat++","C++11, Oat++",,,,,,,,,,,unlimited (packets streamed to user code)
