Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Phoner,Windows,,,"SIP, TAPI, CAPI","G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",
PhonerLite,Windows,,,SIP,"G.711a, G.711u, G.722, G.726, G.729, GSM, iLBC, speex, Opus","TLS, SRTP, ZRTP",8,"Conferencing, call redirection, call recording",
QuteCom,"Linux, macOS, Windows XP-2000",GPL,,SIP,"G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2), H.263, H.263+, H.264, Dirac[14]","SRTP, but key exchange via Everbee key Exchange which is not a Standard",,"Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing.",
Roger Wilco GameSpy,Windows,,,Proprietary,,,,,2001
Signal,"Linux, macOS, Windows, Android, iPhone",GPLv3 clients and AGPLv3 server,,RingRTC (WebRTC over Signal protocol[15]),Opus[15],,,"Signal also allows users to send text messages, files, voice notes, pictures, GIFs, and video messages over a Wi-Fi or data connection to other Signal users on iOS, Android and a desktop app. The app also supports group messaging, read receipts and typing indicators, both of which can be disabled.",
Skype,"Linux(with limited functionality),[16] macOS, Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Windows Phone, Android, iPhone, PSP",,,Proprietary P2P protocol It is possible to connect by SIP to the Skype network via additional "Skype Connect" PBX software and alternative (SIP) client software/hardware. Neither the Skype software nor the Skype network supports SIP directly[1],SILK,TLS,25 starting with version 3.6.0.216. 10 with 2.x,"Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...); depending on platform.",
TeamSpeak,"Linux, Windows, macOS, FreeBSD, Android, iOS",,,,"CELT, Speex (both until server version 3.5.0), Opus[17]",,"32 unlicensed, 512 with Non-Profit License (available until September 2018), up to 1024 (Gamer License), 2000","Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX & OpenGL games, global public server list, plugin system",3.5.2; 20200402
TeamTalk,"Linux, Windows, macOS, Android, iOS, Raspbian",,,,"Opus, Speex, WebM",,1000,"Video, file sharing, desktop sharing, stream media files (MP3, AVI)",5.3.3; 201811
TeamViewer,"Linux, Windows, macOS, iOS, Android[18]",,,,,AES256,,,
Telephone,macOS 10.10.2,BSD,,"SIP, STUN, ICE",,,,Address Book integration,1.1.4; 20120306
"Toktumi Unlimited, Line2 Pro","Windows XP-Vista-7, macOS, iOS, Android",,,Proprietary with SIP core,,,20,"Conferencing, voicemail, caller ID, call-waiting, address book integration; auto-attendant, call-forwarding",Windows; 201008; macOS; 201010
Tox,"Linux, macOS, Windows, Android, FreeBSD",GPL,,"Tox, VP8","Opus,",NaCl,,"Voice, video, instant messaging, file transfers",
Tru App,"Windows 2000-XP-Vista-7, macOS, Linux iOS, Android, Symbian, BlackBerry OS,",,,"SIP, XMPP",,,,"Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype",
Tuenti,"Android, iPhone, Windows Phone",,,"WebRTC, SIP, XMPP","iLBC, Opus",Yes,,"Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications.",
Twinkle,Linux,GPL,,SIP,"G.711 A-law ?-law, G.726, GSM, iLBC, Speex narrow wide ultrawide","SRTP, ZRTP",3,"Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services",
Ventrilo,"macOS, Windows, iOS, Android",,,,,,8,"Conferencing, chat, text-to-speech",3.0.8
Viber,"Linux,name=viber-desktop-restrictionViber must be first installed on a mobile phone to function on a desktop operating system[19][20] macOS,name=viber-desktop-restriction Windows,name=viber-desktop-restriction Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone",,,,,,,"Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsoft's Windows Phone",
Vonage,"Linux, macOS, Windows, Android, iOS",,not free,"SIP, STUN, ICE, TURN","Audio: Opus, G.711 Video: VP8",SRTP,50,"VoIP, video, instant messaging, presence (SIP SIMPLE), PSTN (inbound and outbound), call waiting, call hold, call forwarding, voicemail, message-waiting indication, 3-way conferencing, contacts integration, receptionist console, video, group chat, content sharing, SMS over IP services, native and social network contacts integration, incoming call/IM push notifications, fax, file sharing, screen sharing (desktop only), number programmability.",
Wire,"Linux, Windows, macOS, iOS, Android, Web",GPLv3,not free,,Audio: Opus Video: VP8,"DTLS, SRTP[22]",10[23],"End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only)",
X-Lite,"macOS, Windows",,,"SIP, STUN, ICE, TURN","H.263, H.263+, G.711, iLBC, Speex",,3,"VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC)",5.3.3 20180710
Yahoo! Messenger,"Classic Mac OS (8, 9), macOS, Windows, (Linux, FreeBSD version VoIP incapable)",,,SIP (using TLS) and RTP (media),,,,"Video, file transfer, PC to phone, phone to PC",Windows: 11.5.0.228; 20120531 Mac: 3.0.1; 20110720 Linux: 1.0.6; 200309 SunOS 5.7: 0.99.17-1; 200309 Solaris 8: 1.0.4; 200309 FreeBSD 4-5: 1.0.4; 200309 iOS: 2.2.6; 20120712
Yate Client,"Linux, macOS, Windows",GPL,,"SIP, IAX, XMPP, H.323","G.711a, G.711u, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729","SRTP, maybe ZRTP?",,,6.0.0; 201709
Zfone,"Linux, macOS, Windows",,Includes time bomb provision,"SIP, RTP",,"SRTP, ZRTP",,,"Beta 2008-09-04 (Linux 0.9.224), (macOS 0.9.246), (Windows 0.9.206)"
