Kernel name,Intel,NVIDIA,AMD,ARM,Qualcomm,Imagination Technologies,Broadcom,VeriSilicon
,Intel HD/Iris Graphics,GeForce/Quadro/Tesla,Radeon,Mali,Adreno,PowerVR,VideoCore4,Vivante
Linux kernel,,,,,,2D only[36][37],,Etnaviv
Windows NT kernel,,,,,"Windows RT, Windows Phone 8.x, Windows 10 Mobile",,,
XNU,colspan=3 via I/O Kit (macOS only),,,via I/O Kit (iOS only),,,,
