Client,FTP,FTP over SSH,SFTP,FTPS (FTP over SSL),FXP (Site2site transfer),DAV / HTTP(S),Compression,Mode Z / Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer[3],Segmented Downloads[3]
AbsoluteTelnet,,,,,,,,,,,,,
ALFTP,,,,,,,,,,,,,
Beyond Compare,,,,,,,,,,,,,
Classic FTP,,,,,,,,,,,,,
Codeanywhere,,,,,,,,,,,,,
Commander One,,,,,,,,,,,,,
CoreFTP,,,,,,,,,,,,,
CrossFTP,,,,,,,,,,,,,
cURL,,,,,,,,,,,,,
CuteFTP,,,,,,,,,,,,,
Cyberduck,,,,,,,,,,,,,
Directory Opus,,,,,,,,,,,,,
ExpanDrive (Mac),,,,,,,,,,,,,
ExpanDrive (Windows),,,,,,,,,,,,,
FAR Manager,,,,,,,,,,,,,
Fetch,,,,,,,,,,,,,
FileZilla,,,,,,,,,,,,,
FireFTP,,,,,,,,,,,,,
FlashFXP,,,,,,,,,,,,,
Fling FTP,,,,,,,,,,,,,
ForkLift,,,,,,,,,,,,,
FTP Client,,,,,,,,,,,,,
FTP Commander,,,,,,,,,,,,,
FTP Explorer,,,,,,,,,,,,,
FTP Voyager,,,,,,,,,,,,,
Fugu,,,,,,,,,,,,,
gFTP,,,,,,,,,,,,,
Interarchy,,,,,,,,,,,,,
LeechFTP,,,,,,,,,,,,,
lftp,,,,,,,,,,,,,
Macfusion,,,,,,,,,,,,,
Macfusion,,,,,,,,,,,,,
NcFTP,,,,,,,,,,,,,
pbFtpClient,,,,,,,,,,,,,
PSFTP (PuTTY),,,,,,,,,,,,,
Rclone,,,,,,,,,,,,,
Secure FTP,,,,,,,,,,,,,
SmartFTP,,,,,,,,,,,,,
Steed,,,,,,,,,,,,,
Sysax FTP Automation,,,,,,,,,,,,,
Total Commander,,,,,,,,,,,,,
Transmit,,,,,,,,,,,,,
WebDrive,,,,,,,,,,,,,
Windows 7 (ftp.exe),,,,,,,,,,,,,
WinSCP,,,,,,,,,,,,,
WISE-FTP,,,,,,,,,,,,,
WS_FTP,,,,,,,,,,,,,
Yummy FTP,,,,,,,,,,,,,
Client,FTP,FTP over SSH,SFTP,FTPS (FTP over SSL),FXP (Site2site transfer),DAV / HTTP(S),Compression,Mode Z / Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer,Segmented Downloads
