MagicISO,,,With MagicDisc,,,"Both MagicISO and MagicDisc: ISO, BIN+CUE, IMA, IMG, CIF, NRG, IMG+CCD, MDF+MDS, VCD, VaporCD, P01, MD1, XA, VC4/000, VDI, C2D, BWI+BWT, CDI, TAO/DAO, PDI.[14][15] MagicISO only: DMG, FLP, DSK, BFI, BIF, WBT[14]","ISO, BIN+CUE, UIF, NRG, DMG[16]",Windows,SharewareMagicDisc is Freeware[17]
mount,,,,,,ISO,,Linux,Free software (GPL)
Nero Multimedia Suite,,,,,,"ISO, NRG","ISO, NRG",Windows,Shareware
Nero Burning ROM,,,,,,"ISO, NRG","ISO, NRG",Windows,Shareware
Nero Linux,,,,,,"ISO, NRG","ISO, NRG",Linux,Shareware (Discontinued)
Norton Ghost,,,,,,"GHO, GHS, VMDK, V2I, IV2I, PQI","GHO, GHS, VMDK",Windows,Shareware
OSFmount,,,,,,"IMG, DD, ISO, BIN+CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD",,Windows,Freeware
Partimage,,,,,,"Compressed file system images: Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS","Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS",Linux,Free software (GPL)
PeaZip,,,,,,"DMG, ISO, VHD, WIM[18]",,"Windows, Linux",Free software (LGPL v3)
PowerISO[19],,,,,,"ISO, DAA, BIN+CUE, MDF+MDS, ASHDISC, BWI+B5I, LCD, IMG, CDI, CDR, CIF, P01, PDI, NRG, NCD, PXI, GI, FCD, VCD, C2D, DMG, BIF, IMA + FLP, IMG, UIF, ISZ, WIM, ESD, VMDK, VHD, VDI","ISO, BIN, DAA","Windows, macOS, Linux",Proprietary commercial
Roxio Creator[20],,,,,,"ISO, C2D, BIN+CUE, GI","ISO, GI",Windows,Proprietary commercial
Roxio Toast[21],,,,,,"ISO, BIN+CUE, IMG, DMG, CDR, NRG",,macOS,Proprietary commercial
UltraISO,,,,,,"BIN+CUE, BWI+BWT, B5T+B5I, B6T+B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD, GI, IMA, IMG+CCD, IML, ISO, ISZ, LCD, MDF+MDS, NCD, NRG, P01+MD1+XA, PDI, PXI, TAO, DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD+XMF [22]","BIN+CUE, CCD+IMG+SUB, ISO, ISZ, MDF+MDS, NRG",Windows,Trialware
Virtual CloneDrive,,,,,,"ISO, BIN, IMG, UDF, DVD, CCD",,Windows,Freeware
Virtual CD-ROM Control Panel,,,,,,ISO,,Windows,Freeware
