IDE,License,Windows,Linux,macOS,Other platforms,Debugger,GUI builder,Toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release
Eclipse w/ AonixADT[1],EPL,,,,"FreeBSD, JVM, Solaris",,,,,,,,,,December 2009
GNAT Programming Studio,GPL,,,,"DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris",,,,,,,,,,June 2014
SlickEdit,,,,,"Solaris, Solaris SPARC, AIX, HP-UX",,,,,,,,,,2018
Understand,,,,,Solaris,,,,,,,,,,December 2015
