Functional programming,Java,C#
Method references,,
Closures,All lambdas do not introduce a new level of scope. All referenced variables must be effectively final,
Lambda expressions,,
Expression trees,,
Generic query language,,
Tail recursion compiler optimizations, date=January 2014,Only on x64[78]
