,Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
Ability Photopaint,,,,,,,,
ACD Canvas,,,,,,,,
ACDSee,,,,,,,,
Acorn Image Editor,,,,,,,,
Adobe Fireworks*,,,,,,,,
Adobe Photoshop,,,,,,,,
Adobe Photoshop Lightroom,,,,,,,,
Affinity Photo,,,,,,,,
Aperture,,,,,,,,
Autodesk SketchBook Pro,,,,,,,,Android
Artipic,,,,,,,,
ArtRage,,,,,,,,Android
Artweaver,,,,,,,,
Bibble*,,,,,,,,
Black Ink,,,,,,,,
Bloom Image Editor,,,,,,,,
Brush Strokes Image Editor,,,,,,,,
Capture One,,,,,,,,
Chasys Draw IES,,,,,,,,
CinePaint,Version 0.17 only,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,,
Corel PaintShop Pro,,,,,,,,
Corel Painter,,,,,,,,
Corel Photo-Paint,,,,,,,,
darktable,,,,,,,,Solaris
Deluxe Paint*,,,,,,,,"Atari ST, DOS[10]"
DigiKam,,,,,,,,
Erdas Imagine,,,,,,,,
Fatpaint,,,,,,,,
Fotografix,,,,,,,,
F-Spot,,,,,,,,
G'MIC,,,,,,,,
GIMP,,,,,,,Needs X11 Cygnix,SkyOS
GimPhoto,,,,,,,,
GIMPshop,,,,,,,,
GNU Paint,,,,,,,,
GrafX2,,,,,,,,"Haiku, MiNT, DOS"
GraphicConverter,,,,,,,,
GraphicsMagick,,,,,,,,
gThumb,,,,,,,,
HDR PhotoStudio,,,,,,,,
Helicon Filter,,,,,,,,
ImageJ,,,,,,,,
ImageMagick,,,,,,,,
iPhoto*,,,,,,,,
IrfanView,,,,,,,,
Iridient Developer,,,,,,,,
Kolourpaint,,,,,,,,
Krita,,,,,,,,
LazPaint,,Partial[12],,,,,,
LiveQuartz,,,,,,,,
MacPaint*,,,,,,,,Mac OS[13]
Microsoft Office Picture Manager*,,,,,,,,
Microsoft Paint,,,,,,,,
Microsoft Photo Editor*,,,,,,,,
mtPaint,,,,,,,,
MyPaint,,,,,,,,
OpenCanvas,,,,,,,,
Paint.NET,,,Partial[14],,,,,
Paint Tool SAI,,,,,,,,
PC Paintbrush*,,,,,,,,DOS[15]
Pencil2D,,,,,,,,
Phatch,,,,,,,,
Photogenics,,,,,,,Up to version 5,Pocket PC
PhotoLine,,,,,,,,ATARI ST
PhotoPerfect*,,,,,,,,
Photos,,,,,,,,
Photo Raster,,,,,,,,
Picasa*,,,Up to version 3.0,,,,,
PicMaster,,,,,,,,
Pinta,,,,,,,,
PixBuilder Photo Editor,,,,,,,,
Pixelmator,,,,,,,,
Pixen,,,,,,,,
Pixia,,,,,,,,
PMview,,,,,,,, OS/2
Project Dogwaffle,,,,,,,,
QFX,,,,,,,,DOS 3.3 and up
Rawstudio,,,,,,,,
RawTherapee,,,,,,,,
Seashore,,,,,,,,
Serif PhotoPlus,,,,,,,,
Shotwell,,,,,,,,
Tux Paint,,,,,,,,
TVPaint,,,,,,,Up to version 3.59[16],
UFRaw,,,,,,,,
Ulead PhotoImpact*,,,,,,,,
Ultimate Paint*,,,,,,,,
WinImages,,,,,,,,
Xara Photo & Graphic Designer,,,,,,,,
XnView,,,,,,,,varying[17]
XPaint,,,,,,,,IBM AIX
Zoner Photo Studio,,,,,,,,
