Client name,Development status,Open source client,End-to-end authentication[33],Encryption protocols,,,,Forward secrecy,Multiple encryption,Encrypted group calling,"Proxy, Tor"
,,,,ZRTP,ECDH,DTLS,SRTP,,,,
FaceTime,,,,,,,,,,,
Google Duo,,,,,,,,,,,
Jitsi[35],,,,,,,,,,,
Line[36][37],,,,,,,,,,,
Linphone[35],,,,,,,,,,,
PGPfone,Abandonware,Viewable source[38],,,,,,,,,
Signal,,,,,,,,,,,
Silent Phone,,Viewable source[40],,,,,,,,,
"Skype (opt-in per conversation, one pair of devices per conversation)[41]",,,,,,,,,,,
Telegram,,,,,,,,,,,
Threema,,Partially[45][46],,,,,,Partially[48][47],,,
Viber[21],,,,,,,,,,,
WhatsApp,,Partially[45][49],,,,,,,,,
Wire,,,,,,,,,,,
Zfone,Abandonware,Viewable source[52],,,,,,,,,
