,,Trident,EdgeHTML,Gecko,WebKit,Blink,KHTML[12],Presto
Operation mode,Progressive,3.0[13],rowspan="4" ,rowspan="4" ,rowspan="4" 85,rowspan="4" ,rowspan="4" ,rowspan="4" 1.0
,Baseline,rowspan="3" 3.0,,,,,,
,Hierarchical,,,,,,,
,Lossless,,,,,,,
