,FAT12,FAT16,FAT32,HPFS,ISO 9660,NTFS,UDF
Windows 95,,,,Network Drive,,Network Drive,
Windows 98,,,,Network Drive,,Network Drive,"
Windows Me,,,,Network Drive,,Network Drive,"
