,Trident,Gecko,WebKit,KHTML,Presto
script,5.0,rowspan="2" 1.0,rowspan="2" ,rowspan="2" ,rowspan="2" 1.0
noscript,Trident doesn't hide CSS backgrounds and borders on a <noscript> element when scripting is enableddate=August 2010.group=note,,,,
