Software,ArXiv,CiteSeer,IEEE Xplore,PubMed,Unpaywall[41],Other
Bebop,,,,,,
BibBase,,,,,,"DBLP, Zotero, BibSonomy, Mendeley"
BibDesk,,,,,,"ACM portal, Jstor, DBLP, Google Scholar, Web of Science, any Z39.50 or Entrez, and others"
Biblioscape,,,,,,Import from integrated web browser
BibSonomy,,,,,,various[42]
Bibus,,,,,,none
Bookends,,,,,,"Web of Science, Amazon, Google Scholar, Z39.50"
Citavi,,,,,,"WorldCat/OCLC, Ovid, EBSCO, ProQuest, Web of Science, Z39.50 (4500+ online resources), SRU. Further catalogs are added upon request. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, COinS and import from Wikipedia."
CiteULike,,,,,,various [4]
colwiz,,,,,,"Over 30 repositories, Import from integrated web browser"
EndNote,,,,,,various[43] any Z39.50 
JabRef,,,,,,"ACM Portal, CrossRef, DBLP, DOAJ, DOI, GVK, Google Scholar, INSPIRE-HEP, Medline, MathSciNet, SAO/NASA Astrophysics Data System, Springer, and zbMATH"
KBibTeX,,,,,,"BibSonomy, CiteBase, CSB, DBLP, Google Scholar, ScienceDirect, INSPIRE-HEP, Z MATH, Z39.50"
Mendeley,,,,,,various [5]
Paperpile,,,,,,Google Scholar
Pybliographer,,,,,,none
Qiqqa,,,,,,"GoogleScholar, JSTOR"
ReadCube (now Papers),Yesalign=style=color=,,,,,"Microsoft Academic, Google Scholar"
refbase,,,,,,DOI lookup
RefDB,,,,,,any Z39.50
Reference Manager,,,,,,various[45]
Referencer,,,,,,
RefME,,,,,,
RefWorks,,,,,,various
SciRef,,,,,,
Sente,,,,,,"Z39.50, SRU, Web of Knowledge"
Wikindx,,,,,,via plug-ins
WizFolio,,,,,,various[46]
Zotero,,,,,,various[48]
