Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
System wide base text size,,,?,2.1.0+: Set text size[78],?
Monaural output,,,,,
Always visible scrollbar,,,,,
Reduced Animations,,,,,
