Model (Codename),Launch,Architecture (Fab),Transistors Die Size,Core,,Fillratename="boost"name="texture fill"name="pixel fill",,Processing powername="boost"name="FLOPS" (GFLOPS),,Memory,,,,TDP (W),Bus interface,Release Price (USD)
,,,,Configname="cconfig",Clockname="boost" (MHz),Texture (GT/s),Pixel (GP/s),Single,Double,Bus type & width (bit),Size (GiB),Clock (MT/s),Band- width (GB/s),,,
Radeon WX 2100 MobileRadeon Pro WX 2100 (Mobile) (Polaris 12)[87],20170301format=mynowrap=off,GCN 4th gen (14 nm)[88],2.2e=9 101 mm2,512:32:16:8,?,?,?,1250,78 1/16 SP,GDDR5 64-bit,2,6000,48,35,PCIe 3.0 ×16,$ 149
Radeon WX 3100 MobileRadeon Pro WX 3100 (Mobile) (Polaris 12)[89][90],20170321format=mynowrap=off,,,512:32:16:8,?,?,?,1250,78 1/16 SP,GDDR5 128-bit,4,6000,96,50,,$ 199
Radeon WX 4130 MobileRadeon Pro WX 4130 Mobile (Polaris 11)[91],20170301format=mynowrap=off,,3.0e=9 123 mm2,640:40:16:10,1000 1050,16.85,42.12,1348,84.24 1/16 SP,GDDR5 128-bit,4,6000,96,50,,
Radeon WX 4150 MobileRadeon Pro WX 4150 Mobile (Polaris 11)[92],20170301format=mynowrap=off,,,896:56:16:14,1000 1050,16.85,58.97,1887,118 1/16 SP,GDDR5 128-bit,4,6000,96,50,,
Radeon Pro WX 4170 MobileRadeon Pro WX 4170 Mobile (Polaris 11)[93],20170301format=mynowrap=off,,,1024:64:16:16,1000 1050,16.85,67.39,2157,135 1/16 SP,GDDR5 128-bit,4,7000,112,50,,$ 399
Radeon Pro WX 7100 MobileRadeon Pro WX 7100 Mobile (Polaris 10)[94],20170301format=mynowrap=off,,5.7e=9 232 mm2,2304:144:32:36,1188,39.78,179.0,5728,358 1/16 SP,GDDR5 256-bit,8,5000,160,130,,$ 799
