Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Proxy server,"3.1+[333] but only global, not per connection[334] and only works for the browser[335] 3rd party apps available[336]",,,,
On-device encryption,3+[338] but insecure on Qualcomm devices[339],,,3.3.0+[342],
External storage encryption,6+,External storage not available,,,
Zero knowledge encryption[343],"No, data is accessible by Google[344] and shared with the American PRISM surveillance program.[345]",",?,?,
Privacy of synchronization[347],,When synchronizing locally and not using iCloud,?,?,?
Sync to cloud communication encryption,2.3.4+[349],,?,?,?
Wireless anti-tracking[351],Developer Options (9+)[352],8+[353],,?,
Remote device location tracking,,,?,?,
Remote device locking and/or data wipe,2.2+[356],,?,?,
End-to-end encrypted push notifications,"Possible, notifications are handled by the app that can decrypt it[108]","Possible since iOS 7, where the app can handle the notification and decrypt it[357]",?,?,
SSH Client,,,?,,
VPN,,,?,,
OpenVPN,",,?,,
WPA PEAP,,,?,In developer mode[366],
