File system,Maximum filename length,"Allowable characters in directory entriesname=note-25 These are the restrictions imposed by the on-disk directory entry structures themselves. Particular Installable File System drivers may place restrictions of their own on file and directory names; operating systems may also place restrictions of their own, across all filesystems. DOS, Windows, and OS/2 allow only the following characters from the current 8-bit OEM codepage in SFNs: A-Z, 0-9, characters ! # $ % & ' ( ) - @ ^ _ ` {  ~, as well as 0x80-0xFF and 0x20 (SPACE). Specifically, lowercase letters a-z, characters " * / : < > ? \  + , . ; = [ ], control codes 0x00-0x1F, 0x7F and in some cases also 0xE5 are not allowed.) In LFNs, any UCS-2 Unicode except \ / : ? * " &gt; &lt;  and NUL are allowed in file and directory names across all filesystems. Unix-like systems disallow the characters / and NUL in file and directory names across all filesystems.",Maximum pathname length,Maximum file size,"Maximum volume sizename=note-4 For filesystems that have variable allocation unit (block/cluster) sizes, a range of size are given, indicating the maximum volume sizes for the minimum and the maximum possible allocation unit sizes of the filesystem (e.g. 512 bytes and 128 KiB for FAT — which is the cluster size range allowed by the on-disk data structures, although some Installable File System drivers and operating systems do not support cluster sizes larger than 32 KiB).",Max number of files
BeeGFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,16 EiB,16 EiB,
CP/M file system,8.3,"ASCII except for &lt; &gt; . , ; : = ? * [ ]",No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2),32 MiB,512 MiB,
IBM SFS,8.8,,,Non-hierarchical[8],data-sort-type="number" data-sort-value="0" ,
DECtape,6.3,"A–Z, 0–9",DTxN:FILNAM.EXT = 15,"369,280 bytes (577 * 640)","369,920 bytes (578 * 640)",
Elektronika BK tape format,16 bytes,,No directory hierarchy,64 KiB,Not limited. Approx. 800KB (one side) for 90 min cassette,
MicroDOS file system,14 bytes,,,16 MiB,32 MiB,
Level-D,6.3,"A–Z, 0–9","DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67","34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes",Approx 12 GB (64 * 178 MB),
RT-11,6.3,"A–Z, 0–9, $",0 (no directory hierarchy),"33,554,432 bytes (65536 * 512)","33,554,432 bytes",
Version 6 Unix file system (V6FS),14 bytes,"Any byte except NUL and /name=note-26 In these filesystems the directory entries named "." and ".." have special status. Directory entries with these names are not prohibited, and indeed exist as normal directory entries in the on-disk data structures. However, they are mandatory directory entries, with mandatory values, that are automatically created in each directory when it is created; and directories without them are considered corrupt.","No limit definedname=note-12 The on-disk structures have no inherent limit. Particular Installable File System drivers and operating systems may impose limits of their own, however. Limited by its Current Directory Structure (CDS), DOS does not support more than 32 directory levels (except for DR DOS 3.31-6.0) or full pathnames longer than 66 bytes for FAT, or 255 characters for LFNs. Windows NT does not support full pathnames longer than 32,767 bytes for NTFS. Older POSIX APIs which rely on the PATH_MAX constant have a limit of 4,096 bytes on Linux but this can be worked around. Linux itself has no hard path length limits. [9][10]","16 MiBname=note-57 The file size in the inode is 1 8-bit byte followed by 1 16-bit word, for 24 bits. The actual maximum was 8,847,360 bytes, with 7 singly-indirect blocks and 1 doubly-indirect block; PWB/UNIX 1.0's variant had 8 singly-indirect blocks, making the maximum 524,288 bytes or half a MiB.",32 MiB,
Disk Operating System (GEC DOS),,,,"data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
GEC DOS filing system extended,8 bytes,"A–Z, 0–9. Period was directory separator",,"data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
CBM DOS,16 bytes,Any byte except NUL,0 (no directory hierarchy),16 MiB,16 MiB,
Version 7 Unix file system (V7FS),14 bytes,Any byte except NUL or /name=note-26,No limit definedname=note-12,"1 GiBname=note-58 The actual maximum was 1,082,201,088 bytes, with 10 direct blocks, 1 singly-indirect block, 1 doubly-indirect block, and 1 triply-indirect block. The 4.0BSD and 4.1BSD versions, and the System V version, used 1,024-byte blocks rather than 512-byte blocks, making the maximum 4,311,812,608 bytes or approximately 4 GiB.",2 TiB,
exFAT,255 UTF-16 characters,,"32,760 Unicode characters with each path component no more than 255 characters[11]",16 EiB[11],64 ZiB (276 bytes),
FAT (8-bit),6.3 (binary files) / 9 characters (ASCII files),ASCII (0x00 and 0xFF not allowed in first character),No directory hierarchy,data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
FAT12/FAT16,"8.3 (255 UCS-2 characters with LFN)name=note-24 Depends on whether the FAT12, FAT16, and FAT32 implementation has support for LFNs. Where it does not, as in OS/2, DOS, Windows 95, Windows 98 in DOS-only mode and the Linux "msdos" driver, file names are limited to 8.3 format of 8-bit OEM characters (space padded in both the basename and extension parts) and may not contain NUL (end-of-directory marker) or character 5 (replacement for character 229 which itself is used as deleted-file marker). Short names also must not contain lowercase letters. A few special device names (CON, NUL, AUX, PRN, LPT1, COM1, etc.) should be avoided, as some operating systems (notably DOS, OS/2 and Windows) reserve them.",name=note-25name=note-26,No limit definedname=note-12,"32 MiB (4 GiB)name="note-fsize"On-disk structures would support up to 4 GiB, but practical file size is limited by volume size.",1 MiB to 32 MiB,
FAT16B/FAT16X,8.3 (255 UCS-2 characters with LFN)name=note-24,name=note-25name=note-24name=note-26,No limit definedname=note-12,2 (4) GiBname="note-fsize",16 MiB to 2 (4) GiB,
FAT32/FAT32X,8.3 (255 UCS-2 characters with LFN)name=note-24,name=note-25name=note-24name=note-26,"32,760 Unicode characters with each path component no more than 255 characters[11]",4 GiB[11],"512 MiB to 16 TiBWhile FAT32 partitions this large work fine once created, some software won't allow creation of FAT32 partitions larger than 32 GiB. This includes, notoriously, the Windows XP installation program and the Disk Management console in Windows 2000, XP, 2003 and Vista. Use FDISK from a Windows ME Emergency Boot Disk to avoid.[12]",
FATX,42 bytesname=note-24,ASCII. Unicode not permitted.,No limit definedname=note-12,2 GiB,16 MiB to 2 GiB,
Fossil,,,,data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
GEMDOS,8.3,[ ] ( ) _[13],,,,
APFS,255 UTF-8 characters,Unicode 9.0 encoded in UTF-8 [14],,8 EiB,data-sort-type="number" data-sort-value="0" ,263 [15]
F2FS,255 bytes,"Any byte except NUL, /name=note-26",No limit definedname=note-12,3.94 TiB,16 TiB,
MFS,255 bytes,Any byte except :,No path (flat filesystem),256 MiB,256 MiB,
HFS,31 bytes,Any byte except :,Unlimited,2 GiB,2 TiB,
HPFS,255 bytes,"Any byte except NULname=note-27 The "." and ".." directory entries in HPFS that are seen by applications programs are a partial fiction created by the Installable File System drivers. The on-disk data structure for a directory does not contain entries by those names, but instead contains a special "start" entry. Whilst on-disk directory entries by those names are not physically prohibited, they cannot be created in normal operation, and a directory containing such entries is corrupt.",No limit definedname=note-12,2 GiB,"2 TiBname=note-13 This is the limit of the on-disk structures. The HPFS Installable File System driver for OS/2 uses the top 5 bits of the volume sector number for its own use, limiting the volume size that it can handle to 64 GiB.",
NTFS,255 characters,In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*"?<>| as well as NUL In POSIX namespace: any UTF-16 code unit (case-sensitive) except / as well as NUL[16],"32,767 Unicode characters with each path component (directory or filename) up to 255 characters longname=note-12","16 EiBname=note-55 This is the limit of the on-disk structures. The NTFS driver for Windows NT limits the volume size that it can handle to 256 TiB and the file size to 16 TiB respectively; in Windows 10 version 1709, the limit is 8 PiB when using 2 MiB cluster size.",16 EiBname=note-55,232
ReFS,255 UTF-16 characters[17],In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*"?<>| as well as NUL In POSIX namespace: any UTF-16 code unit (case-sensitive) except / as well as NUL[17][18],"32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[17]",16 EiB[17][19],1 YiB[17],
HFS Plus,"255 UTF-16 charactersname=note-1 The "classic" Mac OS provides two sets of functions to retrieve file names from an HFS Plus volume, one of them returning the full Unicode names, the other shortened names fitting in the older 31 byte limit to accommodate older applications.",Any valid Unicodename=note-26name=note-2 HFS Plus mandates support for an escape sequence to allow arbitrary Unicode. Users of older software might see the escape sequences instead of the desired characters.,Unlimited,slightly less than 8 EiB,slightly less than 8 EiB[20][21],
FFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,4 GiB,256 TiB,
HAMMER,255 bytes[22],Any byte except NULname=note-26,,data-sort-type="number" data-sort-value="0" ,1 EiB[23],
UFS1,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,16 GiB to 256 TiB,16 EiB,"Subdirectory per directory is 32,767[24]"
UFS2,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,512 GiB to 32 PiB,512 ZiB[25] (279 bytes),"Subdirectory per directory is 32,767[24]"
ext,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,2 GiB,2 GiB,
Xiafs,248 bytes,Any byte except NULname=note-26,No limit definedname=note-12,64 MiB,2 GiB,
ext2,255 bytes,"Any byte except NUL, /name=note-26",No limit definedname=note-12,16 GiB to 2 TiBname=note-4,2 TiB to 32 TiB,
ext3,255 bytes,"Any byte except NUL, /name=note-26",No limit definedname=note-12,16 GiB to 2 TiBname=note-4,2 TiB to 32 TiB,
ext4,255 bytes[26],"Any byte except NUL, /name=note-26",No limit definedname=note-12,16 GiB to 16 TiBname=note-4[27],1 EiB,232
NOVA,255 bytes,"Any byte except NUL, /name=note-26",No limit definedname=note-12,16 EiB,16 EiB,
Lustre,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,16 EiB on ZFS,16 EiB,
GPFS,255 UTF-8 codepoints,Any byte except NULname=note-26,No limit definedname=note-12,No limit found,299 bytes (2 PiB tested),
GFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,2 TiB to 8 EiBname=note-63 Depends on kernel version and arch. For 2.4 kernels the max is 2 TiB. For 32-bit 2.6 kernels it is 16 TiB. For 64-bit 2.6 kernels it is 8 EiB.,2 TiB to 8 EiBname=note-63,
NILFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,8 EiB,8 EiB,
ReiserFS,"4,032 bytes/255 characters",Any byte except NUL or '/'name=note-26,No limit definedname=note-12,"8 TiBReiserFS has a theoretical maximum file size of 1 EiB, but "page cache limits this to 8 Ti on architectures with 32 bit int"[28] (v3.6), 4 GiB (v3.5)",16 TiB,
Reiser4,"3,976 bytes",Any byte except / and NUL,No limit definedname=note-12,8 TiB on x86,data-sort-type="number" data-sort-value="0" ,
OCFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,8 TiB,8 TiB,
OCFS2,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,4 PiB,4 PiB,
XFS,255 bytesNote that the filename can be much longer XFS#Extended attributes,Any byte except NULname=note-26,No limit definedname=note-12,"8 EiBname=note-9 XFS has a limitation under Linux 2.4 of 64 TiB file size, but Linux 2.4 only supports a maximum block size of 2 TiB. This limitation is not present under IRIX.",8 EiBname=note-9,
JFS1,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,8 EiB,512 TiB to 4 PiB,
JFS,255 bytes,Any Unicode except NUL,No limit definedname=note-12,4 PiB,32 PiB,
QFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"16 EiBname=note-72 QFS allows files to exceed the size of disk when used with its integrated HSM, as only part of the file need reside on disk at any one time.",4 PiBname=note-72,
BFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"12,288 bytes to 260 GiBname=note-3 Varies wildly according to block size and fragmentation of block allocation groups.",256 PiB to 2 EiB,Unlimited
AdvFS,255 characters,Any byte except NULname=note-26,No limit definedname=note-12,16 TiB,16 TiB,
NSS,256 characters,"Depends on namespace usedname=note-28 NSS allows files to have multiple names, in separate namespaces.",Only limited by client,8 TiB,8 TiB,
NWFS,"80 bytesname=note-52 Some namespaces had lower name length limits. "LONG" had an 80-byte limit, "NWFS" 80 bytes, "NFS" 40 bytes and "DOS" imposed 8.3 filename.",Depends on namespace usedname=note-28,No limit definedname=note-12,4 GiB,1 TiB,
ODS-5,236 bytesname=note-15 Maximum combined filename/filetype length is 236 bytes; each component has an individual maximum length of 255 bytes.,,"4,096 bytesname=note-16 Maximum pathname length is 4,096 bytes, but quoted limits on individual components add up to 1,664 bytes.",1 TiB,1 TiB,
VxFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,16 EiB,data-sort-type="number" data-sort-value="0" ,
UDF,255 bytes,Any Unicode except NUL,"1,023 bytesname=note-43 This restriction might be lifted in newer versions.",16 EiB,512 MiB to 16 TiB,
ZFS,255 bytes,Any Unicode except NUL,No limit definedname=note-12,16 EiB,256.000.000.000.000.000 ZiB (2128 bytes),2128
Btrfs,255 bytes,Any byte except '/' and NUL,No limit defined,16 EiB,16 EiB,264
Minix V1 FS,"14 or 30 bytes, set at filesystem creation time",Any byte except NULname=note-26,No limit definedname=note-12,"256.5 MiB name=note-file-size-vs-filesystem-size Sparse files can be larger than the file system size, even though they can't contain more data.",64 MiB,
Minix V2 FS,"14 or 30 bytes, set at filesystem creation time",Any byte except NULname=note-26,No limit definedname=note-12,2 GiB name=note-file-size-vs-filesystem-size,1 GiB,
Minix V3 FS,60 bytes,Any byte except NULname=note-26,No limit definedname=note-12,2 GiB,4 GiB,
VMFS2,128,Any byte except NUL or /name=note-26,"2,048",4 TiBname=note-74 Maximum file size on a VMFS volume depends on the block size for that VMFS volume. The figures here are obtained by using the maximum block size.,64 TiB,
VMFS3,128,Any byte except NUL or /name=note-26,"2,048",2 TiBname=note-74,64 TiB,
ISO 9660:1988,"Level 1: 8.3, Level 2 & 3: ~ 180",Depends on LevelISO 9660#Restrictions,~ 180 bytes?,"4 GiB (Level 1 & 2) to 8 TiB (Level 3)Through the use of multi-extents, a file can consist of multiple segments, each up to 4 GiB in size. See ISO 9660#The 2 GiB (or 4 GiB depending on implementation) file size limit",8 TiBAssuming the typical 2048 Byte sector size. The volume size is specified as a 32 bit value identifying the number of sectors on the volume.,
Joliet ("CDFS"),64 Unicode characters,"All UCS-2 code except *, /, \, :, ;, and ?[29]",,same as ISO 9660:1988,same as ISO 9660:1988,
Rock Ridge,255 bytes,Any byte except NUL or /name=note-26,No limit definedname=note-12,same as ISO 9660:1988,same as ISO 9660:1988,
UniFS,No limit defined (depends on client),,No limit defined (depends on client),Available cache space at time of write (depends on platform),No limit defined,No limit defined
ISO 9660:1999,,,,data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
High Sierra Format,,,,data-sort-type="number" data-sort-value="0" ,data-sort-type="number" data-sort-value="0" ,
SquashFS,256 bytes,,No limit defined,16 EiB,16 EiB,
File system,Maximum filename length,Allowable characters in directory entriesname=note-25,Maximum pathname length,Maximum file size,Maximum volume sizename=note-4,Max number of files
