,Trident,Gecko,WebKit,KHTML,Presto,Prince XML,Antenna House
XML namespace[1],5.0,1.0,,,1.0,rowspan="2" 5.1,
xml:id[2],,,,,2.0,,
XML Events[4],,1.8,,,1.0,,
XInclude[5],3.1,,,,,5.1,
XML Fragment Interchange[7],,,,,,,
Associating CSS,5.0,1.0,419,,1.0,,
