Operating system,Mandatory access control,Software executable space protection,Operating system-level virtualization,Virtualisation,Userspace protection,Others
Linux,"SELinux, AppArmorgroup=Notez1 ","Exec Shield,group=Notez1 PaXgroup=Notez1 ","Chroot, namespace and cgroups,group=Notez4 Linux-VServer,group=Notez1 OpenVZgroup=Notez1 ",KVM,"IPFilter, Iptables","grsecurity,group=Notez1 RSBACgroup=Notez1"
FreeBSD,"SeBSD,group=Notez2group=Notez3 TrustedBSD",ProPolice/SSPgroup=Notez5,jail,bhyve[48],"IPFW, PF, IPFilter",
Darwin,"SEDarwin, TrustedBSD",,jail,,IPFW,
OpenBSD,,"W^X, ProPolice/SSPgroup=Notez6",,vmm[49],PF,
"OpenSolaris, illumos",TrustedBSD,,Solaris Containers,KVM[50],IPFilter,RBAC[51]
Plan 9,,,per-process namespaces,,,
Inferno,,,per-process namespaces,,,
