,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface HTMLCollection,,,,,,,
DOM1,length,rowspan="3" 7.0,?,rowspan="3" 1.0,?,?,rowspan="3" 1.0
,item(),?,?,?,,,
,namedItem(),?,?,?,,,
Interface HTMLOptionsCollection,,,,,,,
DOM2,length,?,?,rowspan="3" 1.0,?,?,rowspan="3" 2.0
,item(),?,?,?,?,,
,namedItem(),?,?,?,?,,
Interface HTMLDocument,,,,,,,
DOM1,domain,rowspan="5" 4.0,rowspan="15" ,rowspan="16" 1.0,rowspan="16" ,?,rowspan="16" 1.0
,URL,?,,,,,
,body,?,,,,,
,images,?,,,,,
,applets,?,,,,,
,title,rowspan="10" 3.0,?,,,,
,referrer,?,,,,,
,links,?,,,,,
,forms,?,,,,,
,anchors,?,,,,,
,cookie,?,,,,,
,open(),?,,,,,
,close(),?,,,,,
,write(),?,,,,,
,writeln(),?,,,,,
,getElementsByName(),,?,?,,,
Interface HTMLElement,,,,,,,
DOM1,id,rowspan="4" 4.0,rowspan="5" ,rowspan="5" 1.0,?,?,rowspan="5" 1.0
,title,?,?,,,,
,lang,?,?,,,,
,className,?,?,,,,
,dir,5.0,?,?,,,
Interface HTMLHtmlElement,,,,,,,
DOM1,version,6.0,?,1.0,?,?,2.0
Interface HTMLHeadElement,,,,,,,
DOM1,profile,8.0,?,1.0,?,?,1.0
Interface HTMLLinkElement,,,,,,,
DOM1,disabled,rowspan="2" 4.0,rowspan="9" ,rowspan="9" 1.0,?,?,rowspan="9" 1.0
,charset,?,?,,,,
,href,8.0,?,?,,,
,hreflang,rowspan="6" 4.0,?,?,,,
,media,?,?,,,,
,rel,?,?,,,,
,rev,?,?,,,,
,target,?,?,,,,
,type,?,?,,,,
Interface HTMLTitleElement,,,,,,,
DOM1,text,4.0,,1.0,?,?,1.0
Interface HTMLMetaElement,,,,,,,
DOM1,content,rowspan="3" 4.0,rowspan="3" ,rowspan="4" 1.0,?,?,rowspan="3" 1.0
,httpEquiv,?,?,,,,
,name,?,?,,,,
,scheme,6.0,?,?,?,2.0,
Interface HTMLBaseElement,,,,,,,
DOM1,href,8.0,rowspan="2" ,rowspan="2" 1.0,?,?,rowspan="2" 2.0
,target,4.0,?,?,,,
Interface HTMLStyleElement,,,,,,,
DOM2,disabled,?,?,rowspan="3" 1.0,?,?,rowspan="3" 1.0
,media,rowspan="2" 4.0,rowspan="2" ,?,?,,
,type,?,?,,,,
Interface HTMLBodyElement,,,,,,,
DOM1,aLink,4.0,rowspan="6" ,rowspan="6" 1.0,?,?,rowspan="6" 1.0
,background,8.0,?,?,,,
,bgColor,rowspan="4" 4.0,?,?,,,
,link,?,?,,,,
,text,?,?,,,,
,vLink,?,?,,,,
Interface HTMLFormElement,,,,,,,
DOM1,action,8.0,,1.9,?,?,rowspan="10" 1.0
,acceptEncoding,?,?,rowspan="9" 1.0,?,?,
,elements,rowspan="3" 3.0,rowspan="8" ,?,?,,
,length,?,?,,,,
,name,?,?,,,,
,enctype,4.0,?,?,,,
,method,rowspan="3" 3.0,?,?,,,
,target,?,?,,,,
,submit(),?,?,,,,
,reset(),4.0,?,?,,,
Interface HTMLSelectElement,,,,,,,
DOM1,selectedIndex,rowspan="4" 3.0,rowspan="9" ,rowspan="15" 1.0,?,?,rowspan="15" 1.0
,length,?,?,,,,
,options,?,?,,,,
,name,?,?,,,,
,size,rowspan="3" 4.0,?,?,,,
,type,?,?,,,,
,value,?,?,,,,
,disabled,rowspan="2" 5.0,?,?,,,
,multiple,?,?,,,,
,form,?,?,?,?,,
,tabIndex,?,?,?,?,,
,add(),?,?,?,?,,
,remove(),?,?,?,?,,
,blur(),rowspan="2" 3.0,rowspan="2" ,?,?,,
,focus(),?,?,,,,
Interface HTMLOptGroupElement,,,,,,,
DOM1,disabled,?,?,rowspan="2" 1.0,?,?,rowspan="2" 2.0
,label,,,?,?,,
Interface HTMLOptionElement,,,,,,,
DOM1,form,rowspan="3" 4.0,rowspan="3" ,rowspan="8" 1.0,?,?,rowspan="5" 1.0
,defaultSelected,?,?,,,,
,text,?,?,,,,
,index,?,?,?,?,,
,disabled,?,?,?,?,,
,label,6.0,rowspan="3" ,?,?,2.0,
,selected,rowspan="2" 4.0,?,?,rowspan="2" 1.0,,
,value,?,?,,,,
Interface HTMLInputElement,,,,,,,
DOM1,defaultValue,rowspan="3" 3.0,rowspan="3" ,rowspan="13" 1.0,?,?,rowspan="9" 1.0
,defaultChecked,?,?,,,,
,form,?,?,,,,
,accept,?,?,?,?,,
,accesskey,?,?,?,?,,
,align,?,?,?,?,,
,alt,?,?,?,?,,
,checked,3.0,rowspan="7" ,?,?,,
,disabled,5.0,?,?,,,
,maxLength,4.0,?,?,2.0,,
,name,3.0,?,?,rowspan="12" 1.0,,
,readOnly,rowspan="3" 4.0,?,?,,,
,size,?,?,,,,
,src,1.9,?,?,,,
,tabIndex,?,?,rowspan="8" 1.0,?,?,
,type,4.0,,?,?,,
,useMap,?,?,?,?,,
,value,rowspan="5" 3.0,rowspan="5" ,?,?,,
,blur(),?,?,,,,
,focus(),?,?,,,,
,select(),?,?,,,,
,click(),?,?,,,,
Interface HTMLTextAreaElement,,,,,,,
DOM1,defaultValue,rowspan="2" 3.0,rowspan="2" ,rowspan="14" 1.0,?,?,rowspan="14" 1.0
,form,?,?,,,,
,accesskey,?,?,?,?,,
,cols,4.0,rowspan="5" ,?,?,,
,disabled,5.0,?,?,,,
,name,3.0,?,?,,,
,readOnly,rowspan="2" 4.0,?,?,,,
,rows,?,?,,,,
,tabIndex,?,?,?,?,,
,type,4.0,rowspan="5" ,?,?,,
,value,rowspan="4" 3.0,?,?,,,
,blur(),?,?,,,,
,focus(),?,?,,,,
,select(),?,?,,,,
Interface HTMLButtonElement,,,,,,,
DOM1,form,3.0,,rowspan="7" 1.0,?,?,rowspan="7" 1.0
,accesskey,?,?,?,?,,
,disabled,5.0,rowspan="2" ,?,?,,
,name,3.0,?,?,,,
,tabIndex,?,?,?,?,,
,type,rowspan="2" 3.0,rowspan="2" ,?,?,,
,value,?,?,,,,
Interface HTMLLabelElement,,,,,,,
DOM1,form,6.0,rowspan="3" ,rowspan="3" 1.0,?,?,rowspan="3" 1.0
,accesskey,5.0,?,?,,,
,htmlFor,4.0,?,?,,,
Interface HTMLFieldSetElement,,,,,,,
DOM1,form,5.0,,1.0,?,?,1.0
Interface HTMLLegendElement,,,,,,,
DOM1,form,5.0,,rowspan="3" 1.0,?,?,rowspan="3" 1.0
,accesskey,?,?,?,?,,
,align,5.0,,?,?,,
Interface HTMLUListElement,,,,,,,
DOM1,compact,rowspan="2" 4.0,rowspan="2" ,rowspan="2" 1.0,?,?,rowspan="2" 1.0
,type,?,?,,,,
Interface HTMLOListElement,,,,,,,
DOM1,compact,rowspan="3" 4.0,rowspan="3" ,rowspan="3" 1.0,?,?,rowspan="3" 1.0
,start,?,?,,,,
,type,?,?,,,,
Interface HTMLDListElement,,,,,,,
DOM1,compact,4.0,,1.0,?,?,1.0
Interface HTMLLIElement,,,,,,,
DOM1,type,rowspan="2" 4.0,rowspan="2" ,rowspan="2" 1.0,?,?,rowspan="2" 1.0
,value,?,?,,,,
Interface HTMLDivElement,,,,,,,
DOM1,align,?,?,1.0,?,?,1.0
Interface HTMLParagraphElement,,,,,,,
DOM1,align,?,?,1.0,?,?,1.0
Interface HTMLHeadingElement,,,,,,,
DOM1,align,4.0,,1.0,?,?,1.0
Interface HTMLQuoteElement,,,,,,,
DOM1,cite,8.0,,1.0,?,?,1.0
Interface HTMLPreElement,,,,,,,
DOM1,width,?,?,1.0,?,?,1.0
Interface HTMLBRElement,,,,,,,
DOM1,clear,4.0,,1.0,?,?,1.0
Interface HTMLHRElement,,,,,,,
DOM1,align,rowspan="4" 4.0,rowspan="4" ,rowspan="4" 1.0,?,?,rowspan="4" 1.0
,noShade,?,?,,,,
,size,?,?,,,,
,width,?,?,,,,
Interface HTMLModElement,,,,,,,
DOM1,cite,8.0,?,1.9,?,?,rowspan="2" 1.0
,dateTime,?,?,1.0,?,?,
Interface HTMLAnchorElement,,,,,,,
DOM1,accesskey,?,?,rowspan="14" 1.0,?,?,rowspan="14" 1.0
,charset,rowspan="2" 6.0,rowspan="8" ,?,?,,
,coords,?,?,,,,
,href,3.0,?,?,,,
,hreflang,6.0,?,?,,,
,name,rowspan="3" 4.0,?,?,,,
,rel,?,?,,,,
,rev,?,?,,,,
,shape,6.0,?,?,,,
,tabIndex,?,?,?,?,,
,target,3.0,rowspan="2" ,?,?,,
,type,6.0,?,?,,,
,blur(),?,?,?,?,,
,focus(),?,?,?,?,,
Interface HTMLImageElement,,,,,,,
DOM1,name,rowspan="7" 4.0,rowspan="7" ,rowspan="12" 1.0,?,?,rowspan="7" 1.0
,align,?,?,,,,
,alt,?,?,,,,
,border,?,?,,,,
,height,?,?,,,,
,hspace,?,?,,,,
,isMap,?,?,,,,
,longDesc,8.0,?,?,?,2.0,
,src,rowspan="4" 4.0,rowspan="4" ,?,?,rowspan="4" 1.0,
,useMap,?,?,,,,
,vspace,?,?,,,,
,width,?,?,,,,
Interface HTMLObjectElement,,,,,,,
DOM1,form,?,?,rowspan="19" 1.0,?,?,rowspan="8" 1.0
,code,rowspan="2" 4.0,rowspan="2" ,?,?,,
,align,?,?,,,,
,archive,?,?,?,?,,
,border,?,?,?,?,,
,codeBase,8.0,rowspan="3" ,?,?,,
,codeType,4.0,?,?,,,
,data,8.0,?,?,,,
,declare,?,?,?,?,2.0,
,height,rowspan="3" 4.0,rowspan="3" ,?,?,rowspan="9" 1.0,
,hspace,?,?,,,,
,name,?,?,,,,
,standby,?,?,?,?,,
,tabIndex,?,?,?,?,,
,type,4.0,,?,?,,
,useMap,?,?,?,?,,
,vspace,rowspan="2" 4.0,rowspan="3" ,?,?,,
,width,?,?,,,,
DOM2,contentDocument,,?,?,2.0,,
Interface HTMLParamElement,,,,,,,
DOM1,name,?,?,rowspan="4" 1.0,?,?,rowspan="4" 1.0
,type,?,?,?,?,,
,value,?,?,?,?,,
,valueType,,?,?,?,,
Interface HTMLMapElement,,,,,,,
DOM1,areas,rowspan="2" 4.0,rowspan="2" ,rowspan="2" 1.0,?,?,rowspan="2" 1.0
,name,?,?,,,,
Interface HTMLAreaElement,,,,,,,
DOM1,accesskey,?,?,rowspan="8" 1.0,?,?,rowspan="8" 1.0
,alt,rowspan="2" 4.0,rowspan="2" ,?,?,,
,coords,?,?,,,,
,hrefs,?,?,?,?,,
,noHrefs,?,?,?,?,,
,shape,4.0,,?,?,,
,tabIndex,?,?,?,?,,
,target,4.0,,?,?,,
Interface HTMLScriptElement,,,,,,,
DOM1,text,rowspan="3" 4.0,0,rowspan="8" 1.0,?,?,1.0
,htmlFor (reserved for future use),rowspan="2" ,?,?,,,
,event (reserved for future use),?,?,2.0,,,
,charset,?,?,?,?,rowspan="5" 1.0,
,defer,4.0,rowspan="3" ,?,?,,
,src,8.0,?,?,,,
,type,4.0,?,?,,,
,target,?,?,?,?,,
Interface HTMLTableElement,,,,,,,
DOM1,caption,rowspan="12" 4.0,rowspan="11" ,rowspan="22" 1.0,?,?,rowspan="22" 1.0
,tHead,?,?,,,,
,tFoot,?,?,,,,
,rows,?,?,,,,
,tBodies,?,?,,,,
,align,?,?,,,,
,bgColor,?,?,,,,
,border,?,?,,,,
,cellPadding,,?,,,,
,cellSpacing,?,?,,,,
,frame,?,?,,,,
,rules,rowspan="2" ,?,?,,,
,summary,6.0,?,?,,,
,width,rowspan="9" 4.0,rowspan="9" ,?,?,,
,createTHead(),?,?,,,,
,deleteTHead(),?,?,,,,
,createTFoot(),?,?,,,,
,deleteTFoot(),?,?,,,,
,createCaption(),?,?,,,,
,deleteCaption(),?,?,,,,
,insertRow(),?,?,,,,
,deleteRow(),?,?,,,,
Interface HTMLTableCaptionElement,,,,,,,
DOM1,align,5.0,,1.0,?,?,1.0
Interface HTMLTableColElement,,,,,,,
DOM1,align,4.0,,rowspan="6" 1.0,?,?,1.0
,ch,rowspan="2" 6.0,rowspan="2" ,?,?,rowspan="2" 2.0,
,chOff,?,?,,,,
,span,5.0,rowspan="2" ,?,?,rowspan="3" 1.0,
,vAlign,4.0,?,?,,,
,width,5.0,0,?,?,,
Interface HTMLTableSectionElement,,,,,,,
DOM1,align,4.0,,rowspan="7" 1.0,?,?,1.0
,ch,rowspan="2" 6.0,rowspan="2" ,?,?,rowspan="2" 2.0,
,chOff,?,?,,,,
,vAlign,rowspan="4" 4.0,rowspan="4" ,?,?,rowspan="4" 1.0,
,rows,?,?,,,,
,insertRow(),?,?,,,,
,deleteRow(),?,?,,,,
Interface HTMLTableRowElement,,,,,,,
DOM1,rowIndex,rowspan="5" 4.0,rowspan="5" ,rowspan="10" 1.0,?,?,rowspan="5" 1.0
,sectionRowIndex,?,?,,,,
,cells,?,?,,,,
,align,?,?,,,,
,bgColor,?,?,,,,
,ch,rowspan="2" 6.0,rowspan="2" ,?,?,rowspan="2" 2.0,
,chOff,?,?,,,,
,vAlign,rowspan="3" 4.0,rowspan="3" ,?,?,rowspan="3" 1.0,
,insertCell(),?,?,,,,
,deleteCell(),?,?,,,,
Interface HTMLTableCellElement,,,,,,,
DOM1,cellIndex,4.0,rowspan="5" ,rowspan="15" 1.0,Incorrect,?,1.0
,abbr,6.0,?,?,2.0,,
,align,4.0,?,?,rowspan="3" 1.0,,
,axis,6.0,?,?,,,
,bgColor,4.0,?,?,,,
,ch,rowspan="2" 6.0,rowspan="2" ,?,?,rowspan="2" 2.0,
,chOff,?,?,,,,
,colSpan,4.0,rowspan="5" ,?,?,rowspan="8" 1.0,
,headers,6.0,?,?,,,
,height,rowspan="3" 4.0,?,?,,,
,noWrap,?,?,,,,
,rowSpan,?,?,,,,
,scope,?,?,?,?,,
,vAlign,rowspan="2" 4.0,rowspan="2" ,?,?,,
,width,?,?,,,,
Interface HTMLFrameSetElement,,,,,,,
DOM1,cols,rowspan="2" 4.0,rowspan="2" ,rowspan="2" 1.0,?,?,rowspan="2" 1.0
,rows,?,?,,,,
Interface HTMLFrameElement,,,,,,,
DOM1,frameBorder,4.0,rowspan="8" ,rowspan="8" 1.0,?,?,rowspan="8" 1.0
,longDesc,8.0,?,?,,,
,marginHeight,rowspan="2" 6.0,?,?,,,
,marginWidth,?,?,,,,
,name,rowspan="3" 4.0,?,?,,,
,noResize,?,?,,,,
,scrolling,?,?,,,,
,src,8.0,?,?,,,
DOM2,contentDocument,,,1.0,?,?,1.0
Interface HTMLIFrameSetElement,,,,,,,
DOM1,align,4.0,,rowspan="11" 1.0,?,?,rowspan="11" 1.0
,frameBorder,?,?,?,?,,
,height,4.0,rowspan="9" ,?,?,,
,longDesc,8.0,?,?,,,
,marginHeight,rowspan="4" 4.0,?,?,,,
,marginWidth,?,?,,,,
,name,?,?,,,,
,scrolling,?,?,,,,
,src,8.0,?,?,,,
,width,4.0,?,?,,,
DOM2,contentDocument,,?,?,,,
