,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
b,1[6],rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" 
big,3[6],,,,,,
hr,1[8],,,,,,
i,1[6],,,,,,
small,rowspan="3" 3[6],,,,,,
sub,,,,,,,
sup,,,,,,,
tt,,,,,,,
