IDE,License,Windows,Linux,macOS,Other platforms,Debugger,GUI builder,Profiler,Static code analysis,MXML,Export to Mobile
Adobe Animate Formerly Adobe Flash Professional,,,,,JVM,,,,,,
Flash Builder,,,,,JVM,,,,,,
FlashDevelop,MIT License,,,,,,,,,,
IntelliJ IDEA,,,,,"FreeBSD, OpenBSD, Solaris",,,,,,
Powerflasher FDT,,,,,JVM,,,,,,
