Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max supported file size
Beyond Compare,Scooter Software[1],,,1996,2020-10-02 (v4.3.7),,,,,> 2GB (64 bits)
Compare++,Coode Software[2],,,2010,2014-11-12 (2.21.2.0),,,,,
"diff, diff3",AT&T,",,1974,,,,,ported to most platforms as part of SCCS,> 2GB but less than 64 bits
Eclipse (compare),,,,2004-07-21,2016-09-28 (4.6.1 (Neon.1)),,,,Anything with Java,
Ediff,Michael Kifer[4],,,1994,2.81.4,,,,Anything with Emacs and diff,
ExamDiff Pro,PrestoSoft[6],,,1998,2017-09-23 (v 9.0.1.6),,,,,
Far Manager (compare),Eugene Roshal (original); FAR Group,,,1996,2017-08-07 (v3.0 build 5000),,,,,
fc,Microsoft[7],,,1987,,,,,,
FileMerge (aka opendiff),Apple Inc.,,,1993 (part of NEXTSTEP 3.2[8]),2014 (v2.8),,,,,
FreeFileSync,Zenju,,,2008,2019-09-16 (v10.16),,,,,
Guiffy SureMerge,Guiffy Software[9],,,2000,2020-10-06 (v11.13),,,,Anything with Java,> 2GB
IntelliJ IDEA (compare),JetBrains[10],,,2001,2019-08-20 (2019.2.1),,,,,
jEdit JDiff plugin,Various[11],,,1998,2012-10-04 (3.3.0),,,,Anything with Java,
Kompare,Otto Bruggeman[12],,,,,,,,,
Lazarus Diff,Lazarus (software),,,2000,2020-07-11 (2.0.10),,,,FreeBSD,
Meld,Stephen Kennedy[14],,,2002,2019-03-31 (3.20.1),,,,"BSD, Solaris",
Notepad++ (compare),Various,,,2009,2015-01-06 (1.5.6.6),,,,,
Perforce P4Merge,Perforce,,,,2019 (2019.1/1815056),,,,Sun Solaris,
Pretty Diff,Austin Cheney[17],,,2009,2016-11-11 (2.1.14),,,,Node.js,
Tkdiff,Tkdiff[18],,,2003 (or before),2011-11-27 (v4.2),,,,Anything with Tcl,
Total Commander (compare),Christian Ghisler[19],,,,2016-11-23 (v9.00),,,,,
twdiff (TextWrangler Diff Helper),"Bare Bones Software, Inc.[20]",,,,2012 (1.0 (v22)),,,,,
vimdiff,Bram Moolenaar et al.,,,2001,2016-10-03 (v8.0.0022),,,,Anything with vim,
WinDiff,Microsoft[22],,,1992,2002-08-16 14:36:14 (v5.00.2195.6601),,,,,
WinMerge,Dean Grimm[23],,,1998,2020-02-23 (v2.16.6),,,,,2 GB
UCC,USC CSSE[25],,,2009,2015-12-30 (2015.12),,,,Sun Solaris,
Name,Creator,FOSS,Free,First public release date,Year of latest stable version,Windows,Macintosh,Linux,Other platforms,Max supported file size
