,Real,Complex,SPD,HPD,SY,HE,BND,TF,OF,EVP,SVD,GEVP,GSVD
ALGLIB,,,,,,,,,,,,,
ATLAS,,,,,,,,,,,,,
Dlib,,,,,,,,,,,,,
GNU Scientific Library,,,,,,,,,,,,,
ILNumerics.Net,,,,,,,,,,,,,
IMSL Numerical Libraries,,,,,,,,,,,,,
LAPACK,,,,,,,,,,,,,
MKL,,,,,,,,,,,,,
NAG Numerical Library,,,,,,,,,,,,,
NMath,,,,,,,,,,,,,
SciPy (Python packages),,,,,,,,,,,,,
Eigen,,,,,,,,,,,,,
Armadillo,,,,,,,,,,,,,
