IDE,License,Windows,Linux,macOS,Developer,Latest stable release
Microsoft Visual Studio,Proprietary Community Edition: Freeware,,,,Microsoft,"15.7 / August 1, 2018"
Visual Studio Code[24],source code(MIT License) - binary(Proprietary),,,,Microsoft,"1.25 / June, 2018"
Rider[25],Proprietary,,,,JetBrains,"2018.1 / April 19, 2018"
