Assembler,Developer,Operating system,FOSS,License,Development active
Microsoft MACRO-80,Microsoft,"CP/M, ISIS-II, TRSDOS, TEKDOS, MSX-DOS",,Commercial,
Zeus Assembler,Crystal Computing,,,Commercial,
z80asm,,"Unix-like, Windows",,GNU GPLv3,
