Name,Parsing algorithm,Input grammar notation,Output languages,"Grammar, code",Lexer,Development platform,IDE,License
AGL,GLR,EBNF,"Java, JavaScript, (other Kotlin targets)",Separate,none,Any Kotlin target platform,,"
ANTLR4,Adaptive LL(*)[2],EBNF,"C#, Java, Python, JavaScript, C++, Swift, Go, PHP",Separate,generated,Java virtual machine,,"
ANTLR3,LL(*),EBNF,"ActionScript, Ada95, C, C++, C#, Java, JavaScript, Objective-C, Perl, Python, Ruby",Mixed,generated,Java virtual machine,,"
APG,"Recursive descent, backtracking",ABNF,"C, C++, JavaScript, Java",Separate,none,All,,"
Astir,"LL(k), LL(finite), LL(*)",Astir hierarchical grammar,C++,Only grammar (actioned),generated,All,Visual Studio Code,"
AXE,Recursive descent,AXE/C++,"C++17, C++11",Mixed,none,Any with C++17 or C++11 standard compiler,,"
Beaver,LALR(1),EBNF,Java,Mixed,external,Java virtual machine,,"
Belr,Recursive descent,ABNF,"C++17, C++11",Separate,included,POSIX,,"
Bison,"LALR(1), LR(1), IELR(1), GLR",Yacc,"C, C++, Java",Mixed,external,All,,"
Bison++[3],LALR(1),?,C++,Mixed,external,POSIX,,"
Bisonc++,LALR(1),?,C++,Mixed,external,POSIX,,"
BtYacc,Backtracking Bottom-up,?,C++,Mixed,external,All,,"
byacc,LALR(1),Yacc,C,Mixed,external,All,,"
BYACC/J,LALR(1),Yacc,"C, Java",Mixed,external,All,,"
CL-Yacc,LALR(1),Lisp,Common Lisp,Mixed,external,All,,"
Coco/R,LL(1),EBNF,"C, C++, C#, F#, Java, Ada, Object Pascal, Delphi, Modula-2, Oberon, Ruby, Swift, Unicon, Visual Basic .NET",Mixed,generated,"Java virtual machine, .NET Framework, Windows, POSIX (depends on output language)",,"
CookCC,LALR(1),Java annotations,Java,Mixed,generated,Java virtual machine,,"
CppCC,LL(k),?,C++,Mixed,generated,POSIX,,"
CSP,LR(1),?,C++,Separate,generated,POSIX,,"
CUP,LALR(1),?,Java,Mixed,external,Java virtual machine,,"
Dragon,"LR(1), LALR(1)",?,"C++, Java",Separate,generated,All,,"
eli,LALR(1),?,C,Mixed,generated,POSIX,,"
Essence,LR(?),?,Scheme 48,Mixed,external,All,,"
eyapp,LALR(1),?,Perl,Mixed,external or generated,All,,"
Frown,LALR(k),?,Haskell 98,Mixed,external,All,,"
geyacc,LALR(1),?,Eiffel,Mixed,external,All,,"
GOLD,LALR(1),BNF,"x86 assembly language, ANSI C, C#, D, Java, Pascal, Object Pascal, Python, Visual Basic 6, Visual Basic .NET, Visual C++",Separate,generated,Windows,,"
GPPG,LALR(1),Yacc,C#,Separate,external,Windows,,"
Grammatica,LL(k),BNF dialect,"C#, Java",Separate,generated,Java virtual machine,,"
HiLexed,LL(*),EBNF or Java,Java,Separate,internal,Java virtual machine,,"
Hime Parser Generator,"LALR(1), GLR",BNF dialect,"C#, Java, Rust",Separate,generated,".NET Framework, Java virtual machine",,"
Hyacc,"LR(1), LALR(1), LR(0)",Yacc,C,Mixed,external,All,,"
iyacc,LALR(1),Yacc,Icon,Mixed,external,All,,"
jacc,LALR(1),?,Java,Mixed,external,Java virtual machine,,"
JavaCC,LL(k),EBNF,"Java, C++, JavaScript (via GWT compiler)[4]",Mixed,generated,Java virtual machine,,"
jay,LALR(1),Yacc,"C#, Java",Mixed,none,Java virtual machine,,"
JFLAP,"LL(1), LALR(1)",?,Java,?,?,Java virtual machine,,?
JetPAG,LL(k),?,C++,Mixed,generated,All,,"
JS/CC,LALR(1),EBNF,"JavaScript, JScript, ECMAScript",Mixed,internal,All,,"
KDevelop-PG-Qt,"LL(1), backtracking, shunting-yard",?,C++,Mixed,generated or external,"All, KDE",,"
Kelbt,Backtracking LALR(1),?,C++,Mixed,generated,POSIX,,"
kmyacc,LALR(1),?,"C, Java, Perl, JavaScript",Mixed,external,All,,"
LALR (inc. w. LRSTAR),LALR(1),"YACC, ANTLR, EBNF",C++,separated,generated,Windows,Visual Studio,BSD
