,Trident,Gecko,WebKit,KHTML,Presto
Font styles,,,,,
b,rowspan="5" 4.0,rowspan="5" 1.0,rowspan="5" ,rowspan="5" ,rowspan="5" 1.0
i,,,,,
big,,,,,
small,,,,,
tt,,,,,
Horizontal rules,,,,,
hr,4.0,1.0,,,1.0
