Maker,Model,Intro year,Screen size (inch),Self-lit,Screen type,Dimensions (HxWxD),Weight,Screen pixels,Pixel density (in pixels per inch),Touch screen,Button for Page-turn,Wireless network,Text-to-speech,Folders,Internal storage,micro SDHC,Web browser,Library DRM compatible,USB Content Management
Amazon.com,Kindle Oasis Wi-Fi/3G,2016,6 in 7 in,,E Ink Carta,,"131 g (4.6 oz) (6 in, no cover) 194 g (6.8 oz) (7 in, no cover)",1080 x 1440 1264 x 1680,300 ppi,2-Point,"Yes, one side","Wi-Fi/CDMA, GSM",,,"4, 8 or 32 GB (8.0 GB)",,,US only,
Amazon.com,Kindle Paperwhite (3rd generation) Wi-Fi/3G,2015,6 in,,E Ink Carta,,207 g (7.3 oz),1080 x 1430,300 ppi,2-Point,,"Wi-Fi/CDMA, GSM",,,4 GB (3.25 GB),,,US only,
Amazon.com,Kindle Voyage,2014,6 in,,E Ink Carta,,180 g (6.3 oz),1080 x 1430,300 ppi,2-Point,Sensors on both sides,"Wi-Fi/CDMA, GSM",,,4 GB (3.25 GB),,,US only,
Amazon.com,Kindle (7th generation),2014,6 in,,E Ink Pearl,,191 g (6.7 oz),600 × 800,167 ppi,,,Wi-Fi,,,4 GB (3.25 GB),,,US only,
Barnes & Noble,Nook Simple Touch with GlowLight,2012,6 in,,E Ink Pearl,,212 g (7.5 oz),600 × 800,167 ppi,,,Wi-Fi,,,2 GB,,"Yes, hidden web browser",,
Barnes & Noble,Nook GlowLight,2013,6 in,,E Ink Pearl,,175 g (6.2 oz),758 × 1024,212 ppi,,,Wi-Fi,,,4 GB (2.5 GB usable) (512 MB for user content),,,,
Barnes & Noble,Nook GlowLight Plus,2015,6 in,,E Ink Carta,,195 g (6.9 oz),1080 × 1430,300 ppi,,,Wi-Fi,,,4 GB (2.5 GB usable) (512 MB for user content),,,,
Barnes & Noble,Nook Glowlight 3,2017,6 in,,E Ink Carta,,195 g (6.9 oz),1072 × 1448,300 ppi,,,Wi-Fi,,,8 GB (6.5 GB usable),,,,
Bookeen,Cybook Odyssey HD FrontLight,2012,6 in,,E Ink Pearl + HSIS,,212 g (7.5 oz),758 × 1024,212 ppi,,,Wi-Fi (n),,,2 GB,,,,
Bookeen,Cybook Odyssey,2013,6 in,,E Ink Pearl + HSIS,,180 g (6.35 oz),600 × 800,167 ppi,,,Wi-Fi (n),,,2 GB,,,,
Bookeen,Cybook Orizon,2010,6 in,,SiPix,,245 g (8.6 oz),600 × 800,167 ppi,,,"Wi-Fi (n), Bluetooth 2.1+EDR",,,2 GB,,,,
Bookeen,Cybook Muse HD,2016,6 in,,E Ink Carta,,180 g (6.3 oz),1072 × 1448,300 ppi,,,Wi-Fi (b/g/n),,,8 GB,,,,
Boyue,T62+,2015,6 in,,E Ink Carta + front-light,,222 g (7.83 oz),758 × 1024,212 ppi,,,Wi-Fi (n),,,8 GB,,,,
bq,Movistar ebook,2011,6 in,,AUO + SiPix,,244 g (8.6 oz),600 × 800,167 ppi,,,Wi-Fi,,,2 GB,up to 16 GB,,,
Tolino,tolino shine 3,2018,6 in,,E Ink Carta,"110,2 x 156,4 x 8,35 mm",166 g,768 × 1024,212 ppi,,,Wi-Fi (b/g/n),,,8 GB (6 GB available for user) + 25GB tolino cloud,,,,
Tolino,tolino page 2,2019,6 in,,E Ink Carta,"112,5 x 159,8 x 9,1 mm",166 g,1072 × 1448,300 ppi,,,Wi-Fi (b/g/n),,,8 GB (6 GB available for user) + 25GB tolino cloud,,,,
Tolino,tolino vision 5,2019,7 in,,E Ink Carta,"158,6 × 144,2 × 5,2 mm",195 g,1264 × 1680,300 ppi,,,Wi-Fi (b/g/n),,,8 GB (6 GB available for user) + 25GB tolino cloud,,,,
Tolino,tolino epos 2,2019,8 in,,E Ink Carta,"159 x 177,5 x 3,9 mm",195 g,1440 × 1920,300 ppi,,,Wi-Fi (b/g/n),,,8 GB (6 GB available for user) + 25GB tolino cloud,,,,
Elonex,621EB,2009,6 in,,E Ink,,180 g (6.3 oz),600 × 800,167 ppi,,,,,,1 GB,,,,
Icarus Reader,Icarus Excel,2012,9.7 in,,E Ink Pearl,,530 g (19 oz),825 × 1200,150 ppi,,,Wi-Fi,,,4 GB,,,,
Icarus Reader,Icarus 8,2013,8 in,,ePaper,,300 g (10.5 oz),768 × 1024,160 ppi,,,Wi-Fi,,,4 GB,,,,
Icarus Reader,Icarus Essence,2013,6 in,,ePaper,,220 g (7.8 oz),600 x 800,167 ppi,,,Wi-Fi,,,4 GB,,,,
Icarus Reader,Icarus Sense G2,2011,6 in,,E Ink,,220 g (7.8 oz),600 × 800,167 ppi,,,Wi-Fi,,,2 GB (1.3 GB),,,,
Icarus Reader,Illumina Pro,2016,9.7 in,,E Ink Pearl HD,,220 g (7.8 oz),825 x 1200,150 ppi,,,Wi-Fi,,,16 GB (11 GB),,,,
Iriver,Iriver Story HD,2011,6 in,,E Ink Pearl,,207 g (7.3 oz),768 × 1024,213 ppi,,,Wi-Fi,,,2 GB,SDHC,,,
JinKe,Hanlin V5,2009,5 in,,E Ink,,160 g (5.6 oz),600 × 800,200 ppi,,,,,,512 MB,SDHC 16 GB,,,
Boyue,Boyue Likebook Plus,2017,7.8 in,,E Ink Carta,198 x 144 x 8.3mm,290 g (10.2 oz),1404 x 1872,300 ppi,,,Wi-Fi,,,16 GB,,,"PDF, EPUB, FB2, RTF, MOBI, TXT, HTML/HTM, DJVU/DJV, JPG, PNG, etc.",
Icarus,Icarus Illumina XL HD,2017,7.8 in,,E Ink Carta,200 x 145 x 9mm,275 g (9.7 oz),1404 x 1872,300 ppi,,,Wi-Fi,,,16 GB,,,,
Kobo Inc.,Kobo Nia,2020,6 in,,E Ink Carta,112.4 x 159.3 x 9.2mm,172 g (6.06 oz),1024 x 758,212 ppi,,,Wi-Fi,,shelves,8 GB,,,,
Kobo Inc.,Kobo Clara HD,2018,6 in,,E Ink Carta,195.1 x 138.5 x 6.9mm,166 g (5.8 oz),1072 x 1448,300 ppi,,,Wi-Fi,,shelves,8 GB,,,,
Kobo Inc.,Kobo Aura One,2016,7.8 in,,E Ink Carta,195.1 x 138.5 x 6.9mm,230 g (8.1 oz),1404 x 1872,300 ppi,,,Wi-Fi,,shelves,8 / 32 GB,,,,
Kobo Inc.,Kobo Aura Edition 2,2016,6 in,,E Ink Carta,159 x 113 x 8.5mm,180 g (6.3 oz),768 x 1024,212 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kobo Inc.,Kobo Touch 2.0,2015,6 in,,E Ink Pearl,,185 g (6.5 oz),600 x 800,167 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kobo Inc.,Kobo Glo HD,2015,6 in,,E Ink Carta,,180 g (6.3 oz),1072 × 1448,300 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kobo Inc.,Kobo Aura H2O,2014,6.8 in,,E Ink Carta,179 x 129 x 9.7mm,233 g (8.2 oz),1080 × 1430,265 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kobo Inc.,Kobo Aura HD,2013,6.8 in,,E Ink Pearl,,240 g (8.5 oz),1080 × 1440,265 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kobo Inc.,Kobo Aura,2013,6 in,,E Ink Pearl,,174 g (6.1 oz),758 x 1024,212 ppi,,,Wi-Fi,,shelves,4 GB,,,,
Kolporter,eClicto,2007,6 in,,E Ink,,174 g (6.1 oz),600 × 800,167 ppi,,,,,,512 MB,SD,,,
Manta,Ebook04,2014,6 in,,E Ink,,,600 × 800,167 ppi,,,Wi-Fi,,,4 GB,up to 32 GB,,,
Onyx Inc.,BOOX C65 Storia,2013,6 in,,E Ink,,186 g (8.4 oz),758 x 1024,212 ppi,,,Wi-Fi,,,4 GB,,,,
Onyx Inc.,BOOX C65 AfterGlow,2013,6 in,,E Ink,,186 g (8.4 oz),758 x 1024,212 ppi,,,Wi-Fi,,,4 GB,,,,
Onyx Inc.,BOOX M92/92S Black Pearl,2011,9.7 in,,E Ink Pearl,,520 g (18 oz),825 × 1200,150 ppi,Stylus,,Wi-Fi,,,4 GB,,,,
