Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
GNU social,Open source,2010,Microblogging,AGPLv3,CC-BY 3.0,,
Diaspora,Open source,2010-11,social network,AGPLv3,AGPLv3,,
Facebook,"Facebook, Inc.[1]",2004-02,social network,proprietary,own TOS,,
Gab,"Gab AI, Inc.",2016-08,microblogging,proprietary,own TOS,,
Loforo [2],DevZero LLC,2020-06,microblogging,proprietary,own TOS,,
micro.blog,Riverfold Software,2017-04,microblogging,???,???,,
identi.ca,"Status Net, Inc.",2008-07 [3],microblogging,Apache v2 (pump.io),CC-BY 3.0,,
Tout,Tout,2010-04 [4],microblogging,proprietary,own TOS,,
Twitter,"Twitter, Inc.",2006-08 [5],microblogging,proprietary,own TOS,,
Yammer,"Yammer, Inc.",2008-09 [6],microblogging,proprietary,own TOS,,
Mastodon,Open source,2016-10[7],microblogging,AGPLv3,own TOS,,
Misskey,Open source,2014,microblogging,AGPLv3,own TOS,,
Pleroma,Open source,2017,microblogging,AGPLv3,own TOS,,
Twister,Open source,2013,microblogging,MIT and BSD licenses,own TOS,,
Twtxt,Open source,2016,microblogging,MIT,own TOS,,
Tumblr,Automattic,2007,microblogging,proprietary,own TOS,,
