,Trident,Gecko,WebKit,KHTML,Presto,Prince XML,Antenna House
XLink[15],5.0,"Gecko, as of version 1.8, only supports simple XLinks, and only for SVG and MathML.[16][17]group=note",,,,Prince XML supports only simple XLinks.[19]group=note,
XML Base[21],,1.0,,,,6.0,
XPointer[24],,,,,,,
