Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
"Cut, copy, and paste",,3+[93],,,
Multi-Device clipboard,,10+[95],,,
Undo,,3+[97],,,
Custom home and lock screen wallpaper,,4+[59],,,
Desktop sync,",,,?,
Local full backup,","Yes, using external computer or iCloud[102]",,,
Core data missing sync,"Bookmarks[104] (before 4), SMSs and Settings[105]",,?,?,?
Notification center,,5+[106],2+[107],,
Push notifications,,Yes (Apple Push Notification Service),2+[109],,
Screenshot,"4+ also available on earlier versions with customized firmware, such as Cyanogen Mod and on older Samsung Galaxy smartphones[110]",,,2.0.2+[112],
iCalendar import,",,?,1.1.6+[116],
Text/document support (read only; creating using third party apps),"Microsoft Office, PDF, TXT/RTF","Microsoft Office,[117][118][119] iWork, PDF, Images, TXT/RTF, VCF","Read only: text files, PDF, HTML, Multiple office formats","Microsoft Office, OpenDocument, PDF, Text",
Printer support,4.4+ using Google Cloud Print[120] but not over USB unless proprietary vendor solutions such as HP Print Service are used[121],Yes (AirPrint)[122],,"yes, cups package is available",
Show remembered Wi-Fi connections,,"No, 3rd party software on jailbroken devices[123]",?,,
