|,| Visual query builder,| Visual schema/model/E-R diagram design,| Reverse engineering,| Forward engineering,| ER diagram groupboxes
Adminer,,,,,
Altova DatabaseSpy,,,,,
Database Deployment Manager,,,,,
Database Workbench,,,,,
DBeaver,,,,,
DBEdit,,,,,
ModelRight,,,,,
Navicat,,,,,
Navicat Data Modeler,,,,,
MySQL Workbench,,,,,
Oracle SQL Developer,,,,,
Orbada,,,,,
pgAdmin,,,,,
phpMyAdmin,,,,,
SQL Database Studio,,,,,
SQL Server Management Studio,,,,,
SQLyog,,,,,
SQuirreL SQL,,,"Only incremental, by manually going through each table and clicking "Add to graph".",,
Toad,,,,,
Toad Data Modeler,,,,Generated SQL must be executed outside Toad Data Modeler.,
