Maker,Model,Intro year,End year,Screen size (inch),Self-lit,Screen type,Screen model,Weight,Screen pixels,Touch screen,Wireless network,Text-to-speech,Folders,Internal Storage,Micro SDHC,Web browser,Library DRM compatible,USB peripherals
Kobo Inc.,Kobo Glo,2012,2015,6 in,,eInk Pearl,,185 g (6.5 oz),758 × 1024,,Wi-Fi,,shelves,2 GB,,,,
Kobo Inc.,Kobo Mini,2012,2014,5 in,,eInk Vizplex,,134 g (4.7 oz),600 × 800,,Wi-Fi,,shelves,2 GB,,,,
Kobo Inc.,Kobo Touch,2011,2013,6 in,,eInk Pearl,,200 g (7.1 oz),600 × 800,,Wi-Fi,,shelves,2 GB,,,,
Kobo Inc.,Kobo eReader Wireless,2010,2011,6 in,,eInk,,221 g (7.8 oz),600 × 800,,Wi-Fi,,,1 GB,SD 4 GB,,,
Kobo Inc.,Kobo eReader,2010,2011,6 in,,eInk,,221 g (7.8 oz),600 × 800,,Bluetooth,,,1 GB,SD,,,
Kogan.com,Kogan eBook Reader,2010,?,6 in,,eInk,,228 g (8.0 oz),600 × 800,,,,,2 GB,SDHC,,,
Kyobo Inc.,Kyobo E-reader Mirasol,2011,2012,5.7 in,,Mirasol,,294 g (10.4 oz),768 × 1024,,Wi-Fi,,,,SDHC,,,
Onyx Inc.,BOOX A60/62,2009,2012,6 in,,eink,,298g,600 x 800,,Wi-Fi,,,512 MB,SDHC,,,
Onyx Inc.,BOOX X60/60S,2010,2011,6 in,,eInk,,298 g (10.5 oz),600 × 800,,Wi-Fi,,,512 MB,SDHC,,,
Onyx Inc.,BOOX M90/M90S,2010,2011,9.7 in,,eInk Pearl,,275 g (9.7 oz),600 × 800,,Wi-Fi,,,2 GB,SDHC,,,
Onyx Inc.,BOOX i62 Touch Espresso,2011,2013,6 in,,eInk Pearl,,238 g (8.4 oz),600x800,,Wi-Fi,,,4 GB,,,,
Onyx Inc.,BOOX i62ML HD Angel Glow,2012,2013,6 in,,eInk,,238 g (8.4 oz),758 × 1024,,Wi-Fi,,,4 GB,,,,
PocketBook,PocketBook Pro 603,2010,?,6 in,,eInk,,280 g (9.9 oz),600 × 800,Stylus,"Wi-Fi, Bluetooth, UMTS + GPRS",,,2 GB,,,,
PocketBook,PocketBook Pro 602,2010,?,6 in,,eInk,,250 g (8.8 oz),600 × 800,,"Wi-Fi, Bluetooth",,,2 GB,,,,
