,Trident,Gecko,WebKit,Presto
Microdata,,16.0[196],,
HTML5 Tokenizer,rowspan="3" 6.0[199],rowspan="3" 2.0[200],,rowspan="3" 2.10[202]
HTML5 Tree Builder,,,,
HTML5 Fragment Parser,,,,
<a rel="noreferrer">,,33.0[203],,
window.onhashchange,4.0[205],1.9.2[206],528[207],2.6[208]
element.classList,,1.9.2[209],,2.8[97]
dir="auto",,20.0[211],528+[212],
! Trident,Gecko,WebKit,Presto,
