Zhuyin,Wade- Giles,MPS II,Yale,Tong- yong,Hanyu Pinyin,Gwoyeu Romatzyh,,,,IPA
,,,,,,Tone 1,Tone 2,Tone 3,Tone 4,
zh-Bopo?,a,a,a,a,a,a,ar,aa,ah,a
zh-Bopo?,ai,ai,ai,ai,ai,ai,air,ae,ay,ai
zh-Bopo?,an,an,an,an,an,an,arn,aan,ann,an
zh-Bopo?,ang,ang,ang,ang,ang,ang,arng,aang,anq,a?
zh-Bopo?,ao,au,au,ao,ao,au,aur,ao,aw,au
zh-Bopo??,cha,ja,ja,jha,zha,ja,jar,jaa,jah,??a
zh-Bopo??,ch?a,cha,cha,cha,cha,cha,char,chaa,chah,???a
zh-Bopo??,chai,jai,jai,jhai,zhai,jai,jair,jae,jay,??ai
zh-Bopo??,ch?ai,chai,chai,chai,chai,chai,chair,chae,chay,???ai
zh-Bopo??,chan,jan,jan,jhan,zhan,jan,jarn,jaan,jann,??an
zh-Bopo??,ch?an,chan,chan,chan,chan,chan,charn,chaan,chann,???an
zh-Bopo??,chang,jang,jang,jhang,zhang,jang,jarng,jaang,janq,??a?
zh-Bopo??,ch?ang,chang,chang,chang,chang,chang,charng,chaang,chanq,???a?
zh-Bopo??,chao,jau,jau,jhao,zhao,jau,jaur,jao,jaw,??au
zh-Bopo??,ch?ao,chau,chau,chao,chao,chau,chaur,chao,chaw,???au
zh-Bopo??,chê,je,je,jhe,zhe,je,jer,jee,jeh,???
zh-Bopo??,ch?ê,che,che,che,che,che,cher,chee,cheh,????
zh-Bopo??,chei,jei,jei,jhei,zhei,jei,jeir,jeei,jey,??ei
zh-Bopo??,chên,jen,jen,jhen,zhen,jen,jern,jeen,jenn,???n
zh-Bopo??,ch?ên,chen,chen,chen,chen,chen,chern,cheen,chenn,????n
zh-Bopo??,chêng,jeng,jeng,jheng,zheng,jeng,jerng,jeeng,jenq,????
zh-Bopo??,ch?êng,cheng,cheng,cheng,cheng,cheng,cherng,cheeng,chenq,?????
zh-Bopo??,chi,ji,ji,ji,ji,ji,jyi,jii,jih,t?i
zh-Bopo??,ch?i,chi,chi,ci,qi,chi,chyi,chii,chih,t??i
zh-Bopo???,chia,jia,jya,jia,jia,jia,jya,jea,jiah,t?ia
zh-Bopo???,ch?ia,chia,chya,cia,qia,chia,chya,chea,chiah,t??ia
zh-Bopo???,chiang,jiang,jyang,jiang,jiang,jiang,jyang,jeang,jianq,t?ia?
zh-Bopo???,ch?iang,chiang,chyang,ciang,qiang,chiang,chyang,cheang,chianq,t??ia?
zh-Bopo???,chiao,jiau,jyau,jiao,jiao,jiau,jyau,jeau,jiaw,t?iau
zh-Bopo???,ch?iao,chiau,chyau,ciao,qiao,chiau,chyau,cheau,chiaw,t??iau
zh-Bopo???,chieh,jie,jye,jie,jie,jie,jye,jiee,jieh,t?ie
zh-Bopo???,ch?ieh,chie,chye,cie,qie,chie,chye,chiee,chieh,t??ie
zh-Bopo???,chien,jian,jyan,jian,jian,jian,jyan,jean,jiann,t?i?n
zh-Bopo???,ch?ien,chian,chyan,cian,qian,chian,chyan,chean,chiann,t??i?n
zh-Bopo?,chih,jr,jr,jhih,zhi,jy,jyr,jyy,jyh,???
zh-Bopo?,ch?ih,chr,chr,chih,chi,chy,chyr,chyy,chyh,????
zh-Bopo???,chin,jin,jin,jin,jin,jin,jyn,jiin,jinn,t?in
zh-Bopo???,ch?in,chin,chin,cin,qin,chin,chyn,chiin,chinn,t??in
zh-Bopo???,ching,jing,jing,jing,jing,jing,jyng,jiing,jinq,t?i?
zh-Bopo???,ch?ing,ching,ching,cing,qing,ching,chyng,chiing,chinq,t??i?
zh-Bopo???,chiu,jiou,jyou,jiou,jiu,jiou,jyou,jeou,jiow,t?iou
zh-Bopo???,ch?iu,chiou,chyou,ciou,qiu,chiou,chyou,cheou,chiow,t??iou
zh-Bopo???,chiung,jiung,jyung,jyong,jiong,jiong,jyong,jeong,jionq,t?i??
zh-Bopo???,ch?iung,chiung,chyung,cyong,qiong,chiong,chyong,cheong,chionq,t??i??
zh-Bopo???,cho,juo,jwo,jhuo,zhuo,juo,jwo,juoo,juoh,??uo
zh-Bopo???,ch?o,chuo,chwo,chuo,chuo,chuo,chwo,chuoo,chuoh,???uo
zh-Bopo??,chou,jou,jou,jhou,zhou,jou,jour,joou,jow,??ou
zh-Bopo??,ch?ou,chou,chou,chou,chou,chou,chour,choou,chow,???ou
zh-Bopo??,chu,ju,ju,jhu,zhu,ju,jwu,juu,juh,??u
zh-Bopo??,ch?u,chu,chu,chu,chu,chu,chwu,chuu,chuh,???u
zh-Bopo???,chua,jua,jwa,jhua,zhua,jua,jwa,joa,juah,??ua
zh-Bopo???,ch?ua,chua,chwa,chua,chua,chua,chuar,chuaa,chuah,???ua
zh-Bopo???,chuai,juai,jwai,jhuai,zhuai,juai,jwai,joai,juay,??uai
zh-Bopo???,ch?uai,chuai,chwai,chuai,chuai,chuai,chwai,choai,chuay,???uai
zh-Bopo???,chuan,juan,jwan,jhuan,zhuan,juan,jwan,joan,juann,??uan
zh-Bopo???,ch?uan,chuan,chwan,chuan,chuan,chuan,chwan,choan,chuann,???uan
zh-Bopo???,chuang,juang,jwang,jhuang,zhuang,juang,jwang,joang,juanq,??ua?
zh-Bopo???,ch?uang,chuang,chwang,chuang,chuang,chuang,chwang,choang,chuanq,???ua?
zh-Bopo???,chui,juei,jwei,jhuei,zhui,juei,jwei,joei,juey,??uei
zh-Bopo???,ch?ui,chuei,chwei,chuei,chui,chuei,chwei,choei,chuey,???uei
zh-Bopo???,chun,juen,jwun,jhun,zhun,juen,jwen,joen,juenn,??u?n
zh-Bopo???,ch?un,chuen,chwun,chun,chun,chuen,chwen,choen,chuenn,???u?n
zh-Bopo???,chung,jung,jung,jhong,zhong,jong,jorng,joong,jonq,????
zh-Bopo???,ch?ung,chung,chung,chong,chong,chong,chorng,choong,chonq,?????
zh-Bopo??,chü,jiu,jyu,jyu,ju,jiu,jyu,jeu,jiuh,t?y
zh-Bopo??,ch?ü,chiu,chyu,cyu,qu,chiu,chyu,cheu,chiuh,t??y
zh-Bopo???,chüan,jiuan,jywan,jyuan,juan,jiuan,jyuan,jeuan,jiuann,t?y?n
zh-Bopo???,ch?üan,chiuan,chywan,cyuan,quan,chiuan,chyuan,cheuan,chiuann,t??y?n
zh-Bopo???,chüeh,jiue,jywe,jyue,jue,jiue,jyue,jeue,jiueh,t?ye
zh-Bopo???,ch?üeh,chiue,chywe,cyue,que,chiue,chyue,cheue,chiueh,t??ye
zh-Bopo???,chün,jiun,jyun,jyun,jun,jiun,jyun,jeun,jiunn,t?yn
zh-Bopo???,ch?ün,chiun,chyun,cyun,qun,chiun,chyun,cheun,chiunn,t??yn
zh-Bopo?,ê/o,e,e,e,e,e,er,ee,eh,?
zh-Bopo?,eh,ê,e,e,ê,è,èr,èe,èh,?
zh-Bopo?,ei,ei,ei,ei,ei,ei,eir,eei,ey,ei
zh-Bopo?,ên,en,en,en,en,en,ern,een,enn,?n
zh-Bopo?,êrh,er,er,er,er,el,erl,eel,ell,a?
zh-Bopo??,fa,fa,fa,fa,fa,fa,far,faa,fah,fa
zh-Bopo??,fan,fan,fan,fan,fan,fan,farn,faan,fann,fan
zh-Bopo??,fang,fang,fang,fang,fang,fang,farng,faang,fanq,fa?
zh-Bopo??,fei,fei,fei,fei,fei,fei,feir,feei,fey,fei
zh-Bopo??,fên,fen,fen,fen,fen,fen,fern,feen,fenn,f?n
zh-Bopo??,fêng,feng,feng,fong,feng,feng,ferng,feeng,fenq,f??
zh-Bopo??,fo,fo,fwo,fo,fo,fo,for,foo,foh,fuo
zh-Bopo??,fou,fou,fou,fou,fou,fou,four,foou,fow,fou
zh-Bopo??,fu,fu,fu,fu,fu,fu,fwu,fuu,fuh,fu
zh-Bopo??,ha,ha,ha,ha,ha,ha,har,haa,hah,xa
zh-Bopo??,hai,hai,hai,hai,hai,hai,hair,hae,hay,xai
zh-Bopo??,han,han,han,han,han,han,harn,haan,hann,xan
zh-Bopo??,hang,hang,hang,hang,hang,hang,harng,haang,hanq,xa?
zh-Bopo??,hao,hau,hau,hao,hao,hau,haur,hao,haw,xau
zh-Bopo??,hei,hei,hei,hei,hei,hei,heir,heei,hey,xei
zh-Bopo??,hên,hen,hen,hen,hen,hen,hern,heen,henn,x?n
zh-Bopo??,hêng,heng,heng,heng,heng,heng,herng,heeng,henq,x??
zh-Bopo??,ho,he,he,he,he,he,her,hee,heh,x?
zh-Bopo??,hou,hou,hou,hou,hou,hou,hour,hoou,how,xou
zh-Bopo??,hsi,shi,syi,si,xi,shi,shyi,shii,shih,?i
zh-Bopo???,hsia,shia,sya,sia,xia,shia,shya,shea,shiah,?ia
zh-Bopo???,hsiang,shiang,syang,siang,xiang,shiang,shyang,sheang,shianq,?ia?
zh-Bopo???,hsiao,shiau,syau,siao,xiao,shiau,shyau,sheau,shiaw,?iau
zh-Bopo???,hsieh,shie,sye,sie,xie,shie,shye,shiee,shieh,?ie
zh-Bopo???,hsien,shian,syan,sian,xian,shian,shyan,shean,shiann,?i?n
zh-Bopo???,hsin,shin,syin,sin,xin,shin,shyn,shiin,shinn,?in
zh-Bopo???,hsing,shing,sying,sing,xing,shing,shyng,shiing,shinq,?i?
zh-Bopo???,hsiu,shiou,syou,siou,xiu,shiou,shyou,sheou,shiow,?iou
zh-Bopo???,hsiung,shiung,syung,syong,xiong,shiong,shyong,sheong,shionq,?i??
zh-Bopo??,hsü,shiu,syu,syu,xu,shiu,shyu,sheu,shiuh,?y
zh-Bopo???,hsüan,shiuan,sywan,syuan,xuan,shiuan,shyuan,sheuan,shiuann,?y?n
