Software Name,Developer,First public release,Predecessor,Latest Stable version / (Date),Operating system,Price in USD,License,"Microsoft Office (.doc, .xls) support",Microsoft Office Open XML support,OpenDocument support,Portable Document Format support
Ability Office,Ability Plus Software,1995,—,6.00,Windows,49.99 - 59.99,,,,Planned for a future version,
Apache OpenOffice,Apache Software Foundation,2012 May,"OpenOffice.org, StarOffice",,"Windows, Mac OS, Linux, BSD, Unix, Solaris/Illumos",,Apache License 2.0,,,Native format,Export and Import with free plugin
Breadbox Office,Breadbox Computer Company,1990,—,4.1.3.0,"DOS, Windows",99.95,,,,,
Calligra Suite,KDE,2011,KOffice,,"Windows, Mac OS, Linux, BSD, Solaris/Illumos",,GNU LGPL and GNU GPL,,,Native format,
Feng Office Community Edition,Feng Office,2007,—,1.6.1,Fully online,,GNU AGPL,,,,
GobeProductive,Gobe Software,1998,—,3.04 / 2.01,"Windows, BeOS",49.95,,,,,
G Suite (formerly Google Apps for Work),Google,2006,Writely,2014,Fully online," 60.00 per account per year (free trial 30 days); free for some versions (education, non-profit)",,,,,
Google Docs,Google,2006,Writely,2014,Fully online,,,,,,
iWork,Apple Inc.,2005,AppleWorks[3],Pages 8.0 / Numbers 6.0 / Keynote 9.0.1 (20181112),"Mac OS, iOS, online",,,,,,
LibreOffice,The Document Foundation formerly Sun Microsystems and Go-oo,2010 September,"OpenOffice.org, Go-oo StarOffice",,"Windows, Mac OS, Linux, BSD, Unix, Solaris/Illumos",,GNU LGPL,,,Native format,
Lotus SmartSuite,IBM,1992 [4],—,9.8,"Windows, OS/2",313.00,,,,,
MarinerPak,Mariner Software,1996,—,10.0,"Classic Mac OS, Mac OS X",79.95,,,,,
Microsoft Office,Microsoft,"1990 (Macintosh), 1992 (Windows)",Microsoft Word Microsoft Excel Microsoft PowerPoint,"2019 (16.0) (Windows), 2019 (16.39) (Mac OS)","Windows, Mac OS",89.95 - 679.95,,,,Windows and Office 365 versions only,
Microsoft Works (Discontinued in 2009),Microsoft,1986,—,Discontinued,"Windows, Macintosh",Discontinued,,,,,
MobiSystems OfficeSuite,MobiSystems,2004,—,Android version: 10.1.16353[6] iOS version: 6.6[7] Windows version: 2.95.18960.0[8],"Android, iOS, Windows[9]",Free version with ads and limited support; €29.99/year for all platforms,,,,,
NeoOffice,Planamesa Software,2005-06-02,based on OpenOffice.org re-coded for Mac OS,3.2,Mac OS,"$10/yr, $29.99 Mac App Store (free old versions)",GNU GPL,,,,Import with free plugin
StarOffice a.k.a. Oracle Open Office,"Sun Microsystems for 10 years, Oracle for 1 year",1995,StarWriter,9.0,"Windows, Mac OS, Linux, BSD, Unix, Solaris/Illumos",34.95,,,,Native format,Import with free plugin
SoftMaker Office,SoftMaker,"1987 (for DOS), 1994 (for Windows)[10]",—,"2016 (Windows: 20150519df=yes,[11] Linux: 20151209df=yes[12]), Office HD for Android: 20141124df=yes, Office Mobile for Android: 20120831df=yes,[13] 2010 (Windows Mobile, Windows CE), 2006 (Handheld PC)","Windows, Linux, Android, Windows Mobile, Windows CE, Pocket PC)","Version-dependent, e.g. SM Office 2012 99.95 (19.95 Acad.); free for FreeOffice; SM Office 2016 is free for educational institutions",,,,",
OnlyOffice,Ascensio Systems,2010,—,—,Fully online,"Free for non-commercial use, 75-7,200 per year for commercial use",GNU AGPL,,,,
TeXmacs,Joris van der Hoeven,1996?,—,2012,"Windows, Mac OS, Linux, BSD, Unix",,GNU GPL,,,,
ThinkFree Office,Haansoft,1998,—,3.5,"Mac OS X v10.4, Windows, Linux, Fully online","49.95, Online Versions free",,,,,
Tiki Wiki CMS Groupware,Tiki Software Community Association,2002,—,"12.2 LTS, 9.8 LTS and 6.14 LTS",Fully online,,GNU LGPL,,,,
WordPerfect Office,Corel,1991,WordPerfect (1982),,Windows,69.99 - 399.99,,,,,
WPS Office (Kingsoft Office),Kingsoft,1988,—,PC 11.2.0 by April 2019,"Windows, Linux, Android, iOS, Mac",$119.99 perpetual license; $29.99 annual subscription; free with ads ,,,,,
Zoho Office Suite,Zoho Corp.,2005,—,,Fully online,"Up to 96 per user per year, depending on feature set",,,,,
Software Name,Developer,First public release,Predecessor,Latest Stable version / (Date),Operating system,Price in USD,License,"Microsoft Office (.doc, .xls...) support",Microsoft Office Open XML support,OpenDocument Support,Portable Document Format support
