Name,Network[1],Anonymous P2P,Link system compatibility,Price,Platform,License,Programming language,Free Spyware-Adware,Latest release year,Extra information
aMule,"eDonkey, Kad",,"eD2k, magnet",Free,"GNU, macOS, Windows, Linux",GPL,C++,,"2016, ,
Ares Galaxy,"Ares, BitTorrent",,arlnk,Free,Windows,GPL,Object Pascal (Delphi),,"2017, ,
BitComet,"BitTorrent, eDonkey, Kad;[2] HTTP/FTP download",,"ed2k,[2] magnet",Free,Windows,,C++,,"2015, ,Exploits SuperSeeding and thus is often banned by trackers and peers. Compatible with e2DK links through an eMule plugin which gives access to eDonkey and Kad networks and cross-network sharing abilities with BitTorrent network.
C Cabos,Gnutella,,magnet,Free,"macOS, Windows",GPL,"Java, REALbasic",,"2010, ,
DC++,Direct Connect,,magnet,Free,Windows,GPL,C++,,"2017, 0.866 20170520","Many modifications exist, for example: LinuxDC++, EiskaltDC++, FlylinkDC++, etc."
eMule,"eDonkey, Kad",,ed2k,Free,Windows,GPL,C++,,"2010, ,Supports protocol obfuscation
F Filetopia,Filetopia,,,Free,Windows,,Java,,2018,
Flashget,"BitTorrent, eDonkey; HTTP/FTP download",,,,Windows,,,,2012,
Free Download Manager,BitTorrent; HTTP/FTP download,,metalink,Free,Windows,GPL,C++,,"2015, ,
Freenet’s FProxy,Freenet,,,Free,"GNU, macOS, Windows",GPL,Java,,"2020, ,
Frost,Freenet,,,Free,"GNU, macOS, Windows",GPL,Java,,2011,
FrostWire,BitTorrent,,magnet,Free,"GNU, macOS, Windows",GPL,Java,,"2015, ,"Fork of LimeWire, with no copyrighted-material blocker planned."
G GetRight,BitTorrent; HTTP/FTP download,,,,Windows,,,,2011,
giFT,"OpenFT and, with plugins, Ares, Gnutella, FastTrack",,,Free,"GNU, macOS, Windows",GPL,C,,"2004, ,
GnucDNA / Gnucleus,"Gnutella, Gnutella2",,,Free,Windows,GPL,C++,,"2005, ,
GNUnet / gnunet-fs,GNUnet,,ECRS,Free,"GNU, FreeBSD, macOS, Windows",GNU AGPLv3 or later[3] (Free software),C,,"2019, ,Latest preview release: 0.11.0pre66 / 20180606[4]
gtk-gnutella,Gnutella,,magnet,Free,"GNU, Windows, Linux",GPL,C,,"2018, ,
I2Phex,I2P (protocol Gnutella),,magnet,Free,"GNU, macOS, Windows",GPL,Java,,2011,Need I2P to run.
iMule,I2P (protocol Kad network),,"ed2k, magnet",Free,"GNU, macOS, Windows",GPL,C++,,"2013, ,needs I2P to run
Jumpshare,Jumpshare,,,Free or US$9.99/month,"Windows, macOS",Proprietary,Various,,2015,"Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips"
KCeasy,"Ares, Gnutella, FastTrack, OpenFT",,,Free,Windows,GPL,"C++, Object Pascal (Delphi)",,2008,Uses integrated giFT file sharing daemon as back-end.
KGet,BitTorrent; HTTP/FTP download,,,Free,part of KDE on Windows,GPL,C++,,2012,
M MLDonkey,"BitTorrent, eDonkey, FastTrack, (Gnutella, Gnutella2), Kad; HTTP/FTP download",,"ed2k, magnet, sig2dat",Free,"GNU, macOS, Windows, Linux",GPL,OCaml,,"2014, ,"P2P application, telnet / web-interface / GUI interface, complete and complex remote usage. Sancho GUI makes automatic SSH tunnels."
Nodezilla,Private,,,Free,"GNU, Windows","core proprietary, GUI GPL",Java,,2010,"Most is proprietary, GUI is GPL."
Perfect Dark,Perfect Dark,,,Free,Windows,,C++,,2015,Boards. Auto update.
R Retroshare,Retroshare,,Own format,Free,"Windows, GNU, macOS",GPL,C++,,2019,Uses PGP for friend authentication. Decentralized F2F network type.
Robert,I2P (protocol BitTorrent),,magnet,Free,"GNU, macOS, Windows",GPL,Python,,2012,needs I2P to run
S Share,Share,,,Free,Windows,,Object Pascal (Delphi),,2006,Anonymous developer; tries to be Winny successor
Shareaza,"eDonkey, BitTorrent, Gnutella, Gnutella2, Direct Connect; HTTP/FTP download",,"ed2k, magnet, Piolet/MP2P, gnutella",Free,Windows,GPL,C++,,"2017, ,Uses a powerful files library; maintained by volunteer group
StealthNet,RShare,,,Free,"GNU, macOS, Windows",GPL,C#,,2011,Evolution of the RShare client with many functions.
Soulseek,Soulseek,,,"Free, donations for privileges","Windows, Mac, Linux",,?,,"2015, ,"Folder downloads, browse users with folder trees, no multi-source downloads"
Tribler,BitTorrent and its own,,magnet,Free,"Windows, GNU, macOS",GNU LGPL v2.1+[5],"Python, C++",,"2019, ,"Unlike most other torrent clients, Tribler is decentralized (as well as anonymous) and does not rely on any trackers or any other indexing service to discover content.[6] Also features a built-in video streamer."
V Vuze (formerly Azureus),BitTorrent and I2P,,magnet,Free,"GNU, macOS, Windows",GPL,Java,,"2016, ,
WinMX,"WinMX Peer Network (independent, now user-operated), OpenNAP, chatrooms supported",,,Free,Windows,,C++,,2004,"Official development has ceased due to RIAA coercion. Versions 3.53, 3.54 beta 4 and older are available from 3rd parties."
Winny,Winny,,,Free,Windows,,C++,,2003,
L WireShare,"Gnutella, BitTorrent",,magnet,Free,"GNU, macOS, Windows",GPL,Java,,2016,Forked from Limewire pro
Name,Network,Anonymous P2P,Link system compatibility,Price,Platform,License,Programming language,Free Spyware-Adware,Last release year,Extra information
