Object object,Trident,Gecko,WebKit,Presto,Blink
Called as function,,,,,
Object([value]),,,,,
Called as constructor,,,,,
new Object([value]),4.0,,,,
Properties,,,,,
prototype,4.0,,,,
Properties of prototype,,,,,
constructor,4.0,,,,
toString(),4.0,,,,
toLocaleString(),4.0,,,,
valueOf(),4.0,,,,
hasOwnProperty(V),5.5,,3,,
isPrototypeOf(V),5.5,,3,,
propertyIsEnumerable(V),5.5,,3,,
