Kernel name,Programming language,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT[2]
Amiga Exec,,AmigaOS,Commodore International,HUNK,Exokernel (atypical)[3],,,,,,,,,,
Amiga Exec SG (2nd Generation),,AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),,,,,,,,,,
DragonFly BSD kernel,C,DragonFly BSD,Matt Dillon,ELF,hybrid,"Ipfirewall, PF",,,,"chroot, jail, vkernel",Unix permissions,"DDB, KGDB",,,
FreeBSD kernel,C,"FreeBSD, Debian GNU/kFreeBSD, Gentoo/FreeBSD, Orbis OS",The FreeBSD Project,"ELF, others - platform dependent",monolithic,"IPFilter, Ipfirewall, PF",,,,"chroot, jail, bhyve","Unix permissions, POSIX.1e and NFSv4 ACLs,[4] Capsicum, TrustedBSD MAC, OpenBSM","KDB, DDB, KGDB, DTrace, hwpmc",,,
GNU Hurd,C,"GNU/Hurd (Arch Hurd, Debian GNU/Hurd)",GNU Project/Free Software Foundation,ELF,https://www.gnu.org/software/hurd/faq/multiserver_microkernel.htmlmultiserver microkernel,,https://www.gnu.org/software/hurd/faq/smp.htmlpartial,,,"chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities",,,,
GNU Mach,C,"part of GNU Hurd, used in GNU/Hurd",GNU Project/Free Software Foundation,ELF,microkernel,,https://www.gnu.org/software/hurd/faq/smp.htmlpartial,,,"chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities",,,,
Inferno kernel,,Inferno,Bell Labs / Vita Nuova Holdings,,virtual machine,,,,,"chroot, Xen",,,,,
L4,,L4,Jochen Liedtke,,microkernel,,,,,,"Afterburner/L4 [1], Marzipan [2], capabilities in L4/Fiasco[5]", L4/Fiasco[5], L4/Fiasco[5],,
Linux kernel,C,"Linux (kernel), Android, Ubuntu, CentOS, webOS, Fire OS, Firefox OS, Chrome OS, Syllable Server, Mastodon Linux, OpenBSD/Linux, Plan 9/Linux, Sailfish OS, Tizen, amongst others.",Linus Torvalds,"ELF, others",monolithic,*ipfwadm (2.0 –) ipchains (2.2 –) Netfilter (2.4 – 3.x) nftables (3.13 –),,,,"cgroups, chroot, Lguest, Xen, KVM, kvm-lite, LXC","Unix permissions, POSIX ACL, POSIX Capabilities, keyctl, LSM(SELinux, SMACK, TOMOYO Linux, AppArmor)","OProfile, kprobe, SystemTap, JProbe, ftrace, KDB, KGDB, kernel marker, perf tools",CONFIG_PREEMPT,(CONFIG_PREEMPT_RT Patch),
Compute Node Linux,,Compute Node Linux,Cray Inc.,,,,,,,,,,,,
Mach,C,NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX,Carnegie Mellon University,Mach-O,"microkernel, hybrid kernel",,,,,,,,,,
MINIX 3 kernel,C,MINIX 3,Andrew S. Tanenbaum,"ELF,[6] a.out[7][8]",microkernel,,,,,,Unix permissions,"Call profiling, statistical profiling, Minix Debugger (mdb)",,,
MkLinux,,,OSF Research Institute and Apple Computer,,microkernel,,,,,,,,,,
NetBSD kernel,C,"NetBSD, GNU/kNetBSD (Debian GNU/NetBSD),",The NetBSD Project,"ELF, others - platform dependent","monolithic, anykernel using rump kernel architecture","IPFilter, PF, NPF",,,,"Xen, chroot","kauth, Unix permissions","DDB, KGDB, tprof",POSIX real-time scheduling extensions,Kernel preemption [9],
NetWare kernel,,NetWare,Novell,NLM,hybrid,,,,,,,,,,
OpenBSD kernel,C,OpenBSD,OpenBSD developers,"ELF, others - platform dependent",monolithic,PF,,,,,Unix permissions,,,,
OS/2 kernel,,OS/2 version 2 and above,IBM,LX,hybrid,,,,,,,,,,
Plan 9 kernel,C,Plan 9 from Bell Labs,Bell Labs,,hybrid,ipmux,,,,,,,,,
ReactOS kernel,"C, C++",ReactOS,ReactOS Foundation,"PE, others?",hybrid,,,,,,,,,,
Rockbox kernel,,Rockbox,The Rockbox Project,,,,,,,,,,,,
SunOS kernel,C,SunOS,Sun Microsystems,a.out,monolithic,,,,,,Unix permissions,,,,
Solaris kernel,C,"Solaris, OpenSolaris, GNU/kOpenSolaris (Nexenta OS)",Sun Microsystems,ELF (32-bit only until Solaris 7 in 1998),monolithic,IPFilter,,,,"Zones, chroot","Unix permissions, ACL, RBAC, Auditing, Privileges, Zones, Trusted Extensions","DTrace, CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb",Real-time scheduler,,
Trix kernel,,Trix,Massachusetts Institute of Technology,a.out,monolithic,,,,,,,,,,
Windows NT kernel,"C, C++","Windows NT, 2000, XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10",Microsoft,"PE, others?",hybrid,,,,,Hyper-V,ACL,Event Tracing[10],Multimedia Class Scheduler Service,,
XNU (Darwin kernel),"C, C++","Mac OS X, iOS, iPadOS, tvOS, watchOS, OpenDarwin, PureDarwin GNU/Darwin",Apple Inc.,Mach-O,hybrid,"Ipfirewall, PF (starting in Lion)",,,,chroot,"Unix permissions, NT/NFSv4 ACLs, TrustedBSD MAC, OpenBSM","KDB, DDB, DTrace",,,
SPARTAN kernel,,HelenOS,Jakub Jermar,ELF,microkernel,,,,,,,,,,
Kernel name,! Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT,
