Software Name,E-mail client,HTML editor,Collaborative software,Online editing
Ability Office,,,,
Apache OpenOffice,,OpenOffice Writer[22],,
Breadbox Office,,,,
Calligra Suite,,",,
| Feng Office Community Edition,,,,
GobeProductive,,,,
Google Apps for Work,Gmail,Google Sites,,Fully online
iWork,Mail,,,iCloud
LibreOffice,Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice[23],LibreOffice Writer,LibreOffice Calc,
Lotus SmartSuite,,Lotus FastSite,,
MarinerPak,,,,
Microsoft Office,Microsoft Outlook (Not included in Microsoft Office 2013 or 2016 Home & Student)[25][26],"Microsoft SharePoint Designer. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0",Microsoft SharePoint (Available for separate subscription)[27],Office Online
Microsoft Works,,,,Microsoft Office Live
MobiSystems OfficeSuite,"OfficeSuite Mail for Windows, AquaMail for Android",,,
NeoOffice,,NeoOffice Writer[22],,
ONLYOFFICE,,,,Fully online
SoftMaker Office,a bundled Mozilla Thunderbird,,,
StarOffice,,StarWriter[22],,
TeXmacs,allows to read emails,,under development,
TeamLab,,,,
ThinkFree Office,,Note,,ThinkFree.com
Tiki Wiki CMS Groupware,Tiki Webmail,WYSIWYG editor via CKEditor,,Fully online
WordPerfect Office,has mail merge capabilities[28],,,
WPS Office (Kingsoft Office),available in Android,,,
Zoho Office Suite,Zoho Mail,Zoho Writer,,
Software Name,E-mail client,HTML editor,Collaborative software,Online editing
