Card,Write protection switch,DRM
CompactFlash,,
SmartMedia,",
"MMC, RS-MMC",rowspan="2" ,
MMCMobile,",
SD,,"rowspan="3" 
miniSD,,
microSD,,
"Memory Stick Standard, PRO",,"
"Memory Stick Duo, PRO Duo",,"
Memory Stick PRO-HG Duo,,"
Memory Stick Micro (M2),,"
PS Vita Memory Card,,"
xD,,
USB,Sometimes,
