,Developer[1],First release[2],Latest release[3],Panels/pad[4],Modifiers[5],Courses[6],Bombs[7],USB Card[8]
| Dance Aerobics,Human Entertainment,1987 (Dance Aerobics)[9],N/A,10,,,,
| Dance Dance Revolution,Konami,1998 (Dance Dance Revolution),2019 (Dance Dance Revolution A20),4[10][11][12],,,,
| Pump It Up,Andamiro,1999 (Pump It Up) [15],2019 (Pump It Up XX),"5 for single, 10 for double[16]",,,,
| Dance Maniax,Konami,1999 (Dance Maniax),2000 (Dance Freaks),0 (4 hand sensors),,,,
| 3DDX,NGG Entertainment,2000 (3DDX),N/A,4,?,?,?,?
| EZ2Dancer,AmuseWorld,2000 (EZ2Dancer),2004 (EZ2Dancer SuperChina),3 (2 hand sensors),?,?,?,?
| ParaParaParadise,Konami,2000 (ParaParaParadise),2000 (ParaParaDancing),0 (8 hand sensors),?,?,?,?
| TechnoMotion,F2 Systems,2000 (TechnoMotion),(TechnoMotion The 2nd Dance Floor!),8,,,,
| Dance: UK,Broadsword Interactive Limited,2003 (Dance:UK),N/A,8,?,?,?,?
| EyeToy: Groove,SCE London Studio,2003 (EyeToy: Groove),N/A,0 (6 virtual hand sensors),,,,
| In The Groove,Roxor,2004 (In The Groove),2005 (In The Groove 2),4[10][11],,,,
| MC Groovz Dance Craze,Mad Catz,2004 (MC Groovz Dance Craze),N/A,8,?,?,?,
| Dance Praise,Digital Praise,2005 (Original Dance Praise),2007 (Dance Praise 2: The ReMix),4[10],,,,
| StepMania,MIT License,1998 (StepMania),(StepMania 5),3-10,,,,
| Performous,GPL License,2009,2010,8,,,,
| Dance 86.4 Funky Radio Station,Konami,2005 (Dance 86.4 Funky Radio Station),N/A,3,?,?,,?
| Mungyodance,Empathetic Gaming (MGD/MGD2) Monakai (MGD3),2005 (Mungyodance),2008 (Mungyodance 3 The Third Rave),4,,,,
| Cyber coach,Quick Controls Ltd,2007 (Cyber coach),N/A,8 [18],?,?,?,?
| Pump It Up Pro,Fun in Motion,2007 (Pump It Up Pro),2014 (Pump It Infinity),5[16],,,,
