Product,Book store(s),Book search,In-app Epub import,Import via in-app Browser,OPDS catalog,Other import via,Tag books,Sort books
Apabi Reader,,,,,,eMail (MIME type) Built-in web server,,
Blio,,,,,,eMail (MIME type),,
Bluefire Reader,Free ebook libraries only,,,,,eMail (MIME type) iTunes File Sharing Built-in Web Server,,
DL Reader,,,,,,eMail (MIME type),,
eBookMobi,Free ebook libraries only,,,,,eMail (MIME type),,
eBookReader,,,,,,Built-in web server,,
i2Reader,,,,,,Calibre (Bonjour) Built-in web server,,
iBooks,Apple iBookstore,,,,,eMail (MIME type),,
Kindle,,,,,,iTunes File Sharing,,
Kobo Reading App,,,,,,eMail (MIME type),,
KyBook,Free ebook libraries only,,,,,eMail (MIME type) Google Books Dropbox Google Drive Yandex Disk VK Docs Network folders iTunes File Sharing,,
KyBook 2,,,,,,eMail (MIME type) Google Books Dropbox Google Drive Yandex Disk OneDrive iCloud Could Mail.ru OwnCloud (WebDav) VK Docs Network folders (SMB/CIFS) Apple Folders App iTunes File Sharing,,
MapleRead,Free ebook libraries only,,,,,Built-in web server Calibre (Bonjour) eMail (MIME type) Dropbox iTunes File Sharing,,
Marvin,Free ebook libraries only,,,,,Calibre (Bonjour) eMail (MIME type) Dropbox iTunes File Sharing,,
MegaReader,,,,,,Calibre (Bonjour) eMail (MIME type),,
PocketBook reader,,,,,,iTunes File Sharing eMail (MIME type),,
ShuBook 2,,,,,,Calibre (Bonjour) eMail (MIME type) iTunes File Sharing,,
SideBooks,,,,,,iTunes File Sharing Dropbox,,
Stanza,,,,,,Calibre (Bonjour) eMail (MIME type) iTunes File Sharing,,
uBooks XL,,,,,,eMail (MIME type) iTunes File Sharing,,
iBouquiniste,Free ebook libraries only,,,,,eMail (MIME type),,
Product,Book store(s),Book search,In-app Epub import,Import via in-app Browser,OPDS catalog,Other import via,Tag books,Sort books
