Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
Apabi Reader,3,,,,,,,,,,,
Blio,2,,,,,,,,,,,
Bluefire Reader,2,,,,,,,,,,,
DL Reader,2,,,,,,,,,,,
eBookMobi,10+,,,,,,,,,,,
Ebook Reader,2,,,,,,,,,,,
i2Reader,6+,,,,,,,,,,,
iBooks,2,,,,,,,,,,,
Kindle,2,,,,,,,,,,,
Kobo Reading App,2,,,,,,,,,,,
KyBook,8,,,,,,,,,,,
KyBook 2,16,,,,,,,,,,,
MapleRead,2,,,,,,,,,,,
Marvin,2,,,,,,,,,,,
MegaReader,1,,,,,,,,,,,
PocketBook reader,8+,,,,,,,,,,,
ShuBook 2,5+,,,,,,,,,,,
SideBooks,2,,,,,,,,,,,
Stanza,5+,,,,,,,,,,,
uBooks XL,5,,,,,,,,,,,
iBouquiniste,5,,,,,,,,,,,
Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
