Model,|Memory slots,|Memory Max,|User-replaceable HDD/SSD?,|HDD/SSD bays,|Expansion slots
|Mac Mini[1],,16 GB,,1,
|iMac[2],"None (21.5"), 4 (27")","16 GB (21.5"), 64 GB (27")",,1,
|Mac Pro[3],4,64 GB,,1,
|MacBook Air[4],,8 GB,,1,
|MacBook,,16 GB,,,
|MacBook Pro (2017)[5],,16 GB,,,
|MacBook Pro (2015)[5],,16 GB,,1,
