,Trident,Gecko,WebKit,KHTML,Presto
<<<<<<< HEAD
Unordered and ordered lists,,,,,
ul,rowspan="3" 4.0,rowspan="3" 1.0,rowspan="3" ,rowspan="3" ,rowspan="3" 1.0
ol,,,,,
li,,,,,
Definition lists,,,,,
dl,rowspan="3" 4.0,rowspan="3" 1.0,rowspan="3" ,rowspan="3" ,rowspan="3" 1.0
dt,,,,,
dd,,,,,
=======
script,5.0,rowspan="2" 1.0,rowspan="2" ,rowspan="2" ,rowspan="2" 1.0
noscript,Trident doesn't hide CSS backgrounds and borders on a <noscript> element when scripting is enableddate=August 2010.group=note,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
