Name,AccuRev,BitKeeper,CA Harvest,ClearCase,CVS,Darcs,Git,GNU Bazaar,Integrity,Mercurial,Perforce,Plastic,PVCS,StarTeam,Subversion,Surround,Synergy,Team Concert,TFVC,Vault,Visual SourceSafe
Apache Gump,,,,,,,,,,,,,,,,,,,,,
AppVeyor,,,,,,,,,,,,,,,,,,,,,
Azure DevOps Server,,,,,,,,,,,,,,,,,,,,,
Bamboo,,,,,,,,,,,,,,,,,,,,,
Buddy,,,,,,,,,,,,,,,,,,,,,
BuildBot,,,,,,,,,,,,,,,,,,,,,
BuildMaster,,,,,,,,,,,,,,,,,,,,,
Jenkins,,,,,,,,,,,,,,,,,,,,,
OpenMake Software Meister,,,,,,,,,,,,,,,,,,,,,
Semaphore (software),,,,,,,,,,,,,,,,,,,,,
TeamCity,,,,,,,,,,,,,,,,,,,,,
Vexor,,,,,,,,,,,,,,,,,,,,,
