,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface StyleSheet,,,,,,,
DOM2,type,rowspan="2" 6.0,?,rowspan="7" 1.0,rowspan="7" ,?,rowspan="7" 2.0
,disabled,?,?,,,,
,ownerNode,,?,?,,,
,parentStyleSheet,6.0,?,?,,,
,href,8.0,?,?,,,
,title,6.0,?,?,,,
,media,Incorrect,?,?,,,
Interface StyleSheetList,,,,,,,
DOM2,length,rowspan="2" 6.0,?,rowspan="2" 1.0,rowspan="2" ,?,rowspan="2" 2.0
,item(),?,?,,,,
Interface MediaList,,,,,,,
DOM2,mediaText,rowspan="5" ,?,rowspan="5" 1.0,rowspan="5" ,?,rowspan="5" 2.0
,length,?,?,,,,
,item(),?,?,,,,
,deleteMedium(),?,?,,,,
,appendMedium(),?,?,,,,
Interface LinkStyle,,,,,,,
DOM2,sheet,,?,1.0,,?,2.0
Interface DocumentStyle,,,,,,,
DOM2,styleSheets,,?,1.0,,?,2.0
