Tracker,Programming Language,License,IPv4,IPv6,Operating System Support,Description
MLDonkey[1],OCaml,GPL,,,"Windows, OS X, Unix-like, Morph OS",Has a built-in tracker and announcement service
MonoTorrent[2],C#,MIT,,,"Windows, Mac OS, Unix-like",Uses Mono or .NET Core for cross-platform support (.NET)
Opentracker[3],C,Beerware,,",Unix-like (source code only),"Uses libowfat,[4] performs well even on embedded hardware. Only requirement is a POSIX compliant OS. Supports only a compact peer list."
PeerTracker[5],PHP,GPL,,,Web application,"Extremely lightweight and efficient BitTorrent tracker. Supports SQLite3, and MySQL for storage."
?Torrent[6],C++,Freeware,,,"Windows, OS X, Linux, Android",Does not have a list of hosted torrents.
qBittorrent[7],C++,GPLv2,,,"Windows, OS X, Unix-like, OS/2","Lightweight. Supports DHT, PEX, announcements via UDP. Does not have a web interface or list of hosted torrents; it is not designed for secure or large-scale application."
Vuze[8],Java,Disputed,,,"Windows, Mac OS, Linux",Vuze (formerly Azureus) has a built in tracker.
XBT Tracker[9][10],C++,GPL,,,"Windows, Linux","Uses MySQL for data storage, lightweight tracker"
