Audio player,Audio,,
,CD,DVD-Audio,HDCD
AIMP,,,
Amarok,,,
aTunes,,,
Audacious,,,
Audion,,,
cmus,,,
Cog,,,
foobar2000,,,
JuK,,,
JRiver Media Center,,,
MediaMonkey,,,
MusicBee,,,
Musicmatch Jukebox,,,
musikCube,,,
Rhapsody,,,
Rhythmbox,,,
Sonique,,,
Winamp,,,
XMMS,,,
Zinf,,,
Audio player,CD,DVD-Audio,HDCD
,Audio,,
