Name,ATA,SATA,SCSI,USB 3.0,USB 2.0,USB 1.1,FireWire,PCMCIA/PC card,AGP,Nvidia official driver IA-32,Nvidia official driver IA-64,Nvidia official driver AMD64,ATI official driver x86,ATI official driver x86-64,ATI r200 free software driver,ATI r300 free software driver,Nvidia free software driver,Audio,"TV tuner, video editing, or webcam"
Linux,,,,,,,,,,,,,,,,,","OSS, ALSA","V4L,V4L2"
FreeBSD,,,,,,,,,,,,,,,,,,,
OpenBSD,,,,,,,,,,,,,,,,2d only[19],2d only[20],,
NetBSD,,,,,,,,,,,,,,,,,,,
DragonFly BSD,,,,,,,,,,,,,,,,,,,
"OpenSolaris, illumos",,,,,,,,,,,,,,,,,,,V4L2
"Darwin, OpenDarwin",,,,,,,,,,,,,,,,,,,
MINIX,,,,,,,,,,,,,,,,,,,
FreeDOS,,,,,,,,,,,,,,,,,,,
Genode,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,
KolibriOS,,,,,,,,,,,,,,,,,,,
MenuetOS,,,,,,,,,,,,,,,,,,,
GNU,,group=Notec1,group=Notec1,,group=Notec1,group=Notec1,group=Notec1,group=Notec1,,group=Notec2,group=Notec2,group=Notec2,group=Notec2,group=Notec2,group=Notec3,group=Notec3,group=Notec1,group=Notec1,group=Notec1
ReactOS,,,,,,,,,,,,,,,,,,,
RISC OS,,,,,,,,,,,,,,,,,,,TV tuner[25]
"L4, Fiasco, Pistachio",,,,,,,,,,,,,,,,,,,
Plan 9,,,,,,,,,,,,,,,,,,,
AROS,,,,,,,,,,,,,own,,,,2D only,,
Syllable,,,,,,,,,,,,,,,,,,,
Inferno,,,,,,,,,,,,,,,,,,,
FreeRTOS,,,,,,,,,,,,,,,,,,,
eCos,,,,,,,,,,,,,,,,,,,
RTEMS,,,,,,,,,,,,,,,,,,,
HelenOS,,,,,,,,,,,,,,,,,,,
E/OS,,,,,11,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
K42,,,,,,,,,,,,,,,,,,,
UnixLite,,,,,,,,,,,,,,,,,,,
-->,,,,,,,,,,,,,,,,,,,
Name,ATA,SATA,SCSI,USB 3.0,USB 2.0,USB 1.1,FireWire,PCMCIA/PC card,AGP,Nvidia official driver IA-32,Nvidia official driver IA-64,Nvidia official driver AMD64,ATI official driver x86,ATI official driver x86-64,ATI r200 free software driver,ATI r300 free software driver,Nvidia free software driver,Audio,"TV tuner, video editing, or webcam"
