Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Safe driving mode,3rd party software,11+[229],?,?,?
Turn-by-turn navigation,2+[230],6+[231],?,Yes,3rd party software
Offline maps,"3rd party software Google Maps,[232] Here WeGo",6+[233],?,3rd party software,3rd party software
Alternative routes in maps,Yes[234],5+[235][236],?,3rd party software,3rd party software
