Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Bluetooth keyboard,2.3+;[260] previous versions via 3rd party software[261],Yes[262],No,Yes[263][264],Yes
USB keyboard,3.1+[260],With Camera Connection Kit[265],No,?,Yes
Interchangeable external memory cards,Yes[266],Only for photo/video import with an optional accessory,Yes[267],Yes,Yes
