Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[201],Yes[202][203][204],Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[205][206],Yes[207],No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[208],5+[209],No,Yes,Yes
Autoexpanding text replacements,Yes,5+[210],?,?,?
Keyboard next word prediction,"No,[211] 3rd party software[212]",8+[213],No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[214][215],12+;[216] 9-11: Only on devices with 3D Touch;[217],No,No,Yes
Optical character recognition input method,No[218],11+: Notes app;[219] 8+: Only for inputting credit card details[220],No,No,No
Third party input methods,Yes[221],8+,?,?,?
Gesture text input,4+[222],13+;[223] 8+: 3rd party software like SwiftKey,?,No[224],No
Emoji support,4.4+[225],Yes[226],?,2.2.0+[227] 3rd party software[228],Yes
