Model,Launch,Architecture (Fab),Bus interface,Clock rate,,Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),,API compliance (version),,,,TDP (Watts),Notes
,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,,
Radeon E6465[429],,,,600,800,?:?:?:2,,,2,,GDDR5,64,192,,11,?,?,?,20,"PCIe (4× miniDP or 2× DP), or MXM Type A (4× DP/HDMI/DVI)"
Radeon E8860[430],,GCN (?),,625,1125,?:?:?:10,,,2,,,128,768,,12.0,4.5,1.2,?,37,"PCIe, MXM Type A, or MCM; with or w/o fan; miniDP, DVI+miniDP, or DP/HDMI/DVI"
Radeon E8870,,,,1000,1500,?:?:?:12,,,4,,,,1500,,,,2.0,,75,PCIe (4× DP) or MXM Type B (6× DP/HDMI/DVI)
Radeon E9260,,Polaris (?),PCIe 3.0 x8,,,?:?:?:14,,,,,,,2500,,,,,,50,PCIe (4× miniDP) or MXM Type A (5× DP/HDMI/DVI)
Radeon E9390[431],,,PCIe 3.0 x16,1086,1250,?:?:?:28,,,8,,,256,3900,,,,,,75,4× DisplayPort
Radeon E9550,,,,1243,1250,?:?:?:36,,,,,,,5700,,,,,,95,MXM Type B 6× DP/HDMI
Radeon E9560,,,,1243,1750,,,,,,,,,,,,,,130,4× DisplayPort
Radeon E9565,,,,1243,1750,,,,16,,,,,,,,,,135,6× miniDP
